bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.2,False,6,10-11,False,False,False,3,True,2-10,2.1168,-1.9326,2.1368,-1.9696,0.1842,0.1672,0.3514
1.2,False,6,9-11,False,False,True,3,True,2-10,1.9794,-1.8043,1.9994,-1.826,0.1751,0.1734,0.34850000000000003
1.5,False,6,Any,False,False,True,3,True,2-10,0.5304,-0.3556,0.5504,-0.3773,0.1748,0.1731,0.3479
1.5,True,6,10-11,False,False,True,3,True,2-10,0.5851,-0.4119,0.6051,-0.4323,0.1732,0.1728,0.346
1.5,False,6,10-11,True,False,True,2,True,2-10,0.6122,-0.438,0.6322,-0.4617,0.1741,0.1704,0.34450000000000003
1.2,False,6,Any,False,False,False,4,True,2-10,1.9382,-1.7659,1.9582,-1.7872,0.1723,0.171,0.34330000000000005
1.2,False,6,10-11,False,False,True,3,True,2-10,2.0636,-1.8872,2.0836,-1.9172,0.1763,0.1664,0.3427
1.5,False,6,10-11,True,False,False,3,True,2-10,0.585,-0.4097,0.605,-0.4376,0.1753,0.1674,0.3427
1.2,False,6,Any,False,False,True,2,True,2-10,1.9705,-1.7935,1.9905,-1.825,0.177,0.1655,0.3425
1.5,True,6,Any,False,False,True,3,True,2-10,0.3934,-0.2167,0.4134,-0.2485,0.1767,0.1649,0.3416
1.2,True,6,9-11,False,False,False,3,True,2-10,1.9023,-1.7306,1.9224,-1.7534,0.1718,0.1689,0.3407
1.5,False,6,9-11,False,False,False,3,True,2-10,0.673,-0.4948,0.693,-0.5307,0.1782,0.1623,0.3405
1.2,True,6,9-11,False,False,False,2,True,2-10,1.9452,-1.7682,1.9652,-1.8021,0.177,0.1631,0.34009999999999996
1.2,False,6,10-11,False,False,True,2,True,2-10,2.144,-1.9738,2.164,-1.9945,0.1701,0.1695,0.3396
1.2,False,6,Any,True,False,True,3,True,2-10,1.7256,-1.5522,1.7456,-1.5798,0.1734,0.1658,0.3392
1.5,True,6,10-11,False,False,True,4,True,2-10,0.5674,-0.3904,0.5874,-0.4252,0.177,0.1622,0.3392
