metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,394913094,0.394913094
gross_exposure,0.003,0.004,224705082,0.224705082
gross_exposure,0.006,0.007,31241245,0.031241245
gross_exposure,0.008,0.009,7854994,0.007854994
gross_exposure,0.009,0.01,24301889,0.024301889
gross_exposure,0.01,0.011,14073878,0.014073878
gross_exposure,0.011,0.012,8616827,0.008616827
gross_exposure,0.012,0.013,7732514,0.007732514
gross_exposure,0.013,0.014,7989787,0.007989787
gross_exposure,0.014,0.015,17072531,0.017072531
gross_exposure,0.015,0.016,7182228,0.007182228
gross_exposure,0.016,0.017,12630128,0.012630128
gross_exposure,0.017,0.018,12043958,0.012043958
gross_exposure,0.018,0.019,9314682,0.009314682
gross_exposure,0.019,0.02,7163191,0.007163191
gross_exposure,0.02,0.021,14813723,0.014813723
gross_exposure,0.021,0.022,9623452,0.009623452
gross_exposure,0.022,0.023,7677086,0.007677086
gross_exposure,0.023,0.024,4738411,0.004738411
gross_exposure,0.024,0.025,4210433,0.004210433
gross_exposure,0.025,0.026,7588688,0.007588688
gross_exposure,0.026,0.027,7293645,0.007293645
gross_exposure,0.027,0.028,4618956,0.004618956
gross_exposure,0.028,0.029,5744007,0.005744007
gross_exposure,0.029,0.03,8282425,0.008282425
gross_exposure,0.03,0.031,6652195,0.006652195
gross_exposure,0.031,0.032,2592754,0.002592754
gross_exposure,0.032,0.033,6827247,0.006827247
gross_exposure,0.033,0.034,6933607,0.006933607
gross_exposure,0.034,0.035,3516549,0.003516549
gross_exposure,0.035,0.036,6842371,0.006842371
gross_exposure,0.036,0.037,2171208,0.002171208
gross_exposure,0.037,0.038,2634271,0.002634271
gross_exposure,0.038,0.039,5801635,0.005801635
gross_exposure,0.039,0.04,2620222,0.002620222
gross_exposure,0.04,0.041,6971806,0.006971806
gross_exposure,0.041,0.042,3032657,0.003032657
gross_exposure,0.042,0.043,3232312,0.003232312
gross_exposure,0.043,0.044,2115203,0.002115203
gross_exposure,0.044,0.045,4342843,0.004342843
gross_exposure,0.045,0.046,1172381,0.001172381
gross_exposure,0.046,0.047,4815443,0.004815443
gross_exposure,0.047,0.048,571806,0.000571806
gross_exposure,0.048,0.049,2967224,0.002967224
gross_exposure,0.049,0.05,3035861,0.003035861
gross_exposure,0.05,0.051,2275023,0.002275023
gross_exposure,0.051,0.052,1067278,0.001067278
gross_exposure,0.052,0.053,3341959,0.003341959
gross_exposure,0.053,0.054,1011446,0.001011446
gross_exposure,0.054,0.055,419149,0.000419149
gross_exposure,0.055,0.056,4271019,0.004271019
gross_exposure,0.056,0.057,667645,0.000667645
gross_exposure,0.057,0.058,1965793,0.001965793
gross_exposure,0.058,0.059,2597772,0.002597772
gross_exposure,0.059,0.06,3350611,0.003350611
gross_exposure,0.06,0.061,595971,0.000595971
gross_exposure,0.061,0.062,2115844,0.002115844
gross_exposure,0.062,0.063,1113781,0.001113781
gross_exposure,0.063,0.064,341921,0.000341921
gross_exposure,0.064,0.065,2097490,0.00209749
gross_exposure,0.065,0.066,1015200,0.0010152
gross_exposure,0.066,0.067,887825,0.000887825
gross_exposure,0.067,0.068,493222,0.000493222
gross_exposure,0.068,0.069,2587932,0.002587932
gross_exposure,0.069,0.07,390430,0.00039043
gross_exposure,0.07,0.071,350326,0.000350326
gross_exposure,0.071,0.072,2139187,0.002139187
gross_exposure,0.072,0.073,1163082,0.001163082
gross_exposure,0.073,0.074,384772,0.000384772
gross_exposure,0.074,0.075,722352,0.000722352
gross_exposure,0.075,0.076,1044451,0.001044451
gross_exposure,0.076,0.077,719155,0.000719155
gross_exposure,0.077,0.078,1913269,0.001913269
gross_exposure,0.078,0.079,260717,0.000260717
gross_exposure,0.079,0.08,1059416,0.001059416
gross_exposure,0.08,0.081,123059,0.000123059
gross_exposure,0.081,0.082,1175812,0.001175812
gross_exposure,0.082,0.083,334172,0.000334172
gross_exposure,0.083,0.084,308192,0.000308192
gross_exposure,0.084,0.085,942222,0.000942222
gross_exposure,0.085,0.086,529127,0.000529127
gross_exposure,0.086,0.087,550144,0.000550144
gross_exposure,0.087,0.088,18741,1.8741e-05
gross_exposure,0.088,0.089,359173,0.000359173
gross_exposure,0.089,0.09,165895,0.000165895
gross_exposure,0.09,0.091,1489770,0.00148977
gross_exposure,0.091,0.092,17042,1.7042e-05
gross_exposure,0.092,0.093,19785,1.9785e-05
gross_exposure,0.093,0.094,722954,0.000722954
gross_exposure,0.094,0.095,165606,0.000165606
gross_exposure,0.095,0.096,477141,0.000477141
gross_exposure,0.096,0.097,872795,0.000872795
gross_exposure,0.097,0.098,291034,0.000291034
gross_exposure,0.098,0.099,256208,0.000256208
gross_exposure,0.099,0.1,332253,0.000332253
gross_exposure,0.1,0.101,406215,0.000406215
gross_exposure,0.101,0.102,183246,0.000183246
gross_exposure,0.102,0.103,107791,0.000107791
gross_exposure,0.103,0.104,91451,9.1451e-05
gross_exposure,0.104,0.105,434019,0.000434019
gross_exposure,0.105,0.106,175321,0.000175321
gross_exposure,0.106,0.107,57515,5.7515e-05
gross_exposure,0.107,0.108,438291,0.000438291
gross_exposure,0.108,0.109,3497,3.497e-06
gross_exposure,0.109,0.11,62627,6.2627e-05
gross_exposure,0.11,0.111,676480,0.00067648
gross_exposure,0.111,0.112,24128,2.4128e-05
gross_exposure,0.112,0.113,88891,8.8891e-05
gross_exposure,0.113,0.114,46998,4.6998e-05
gross_exposure,0.114,0.115,454119,0.000454119
gross_exposure,0.115,0.116,107520,0.00010752
gross_exposure,0.116,0.117,182654,0.000182654
gross_exposure,0.117,0.118,210693,0.000210693
gross_exposure,0.118,0.119,356895,0.000356895
gross_exposure,0.119,0.12,97901,9.7901e-05
gross_exposure,0.12,0.121,44315,4.4315e-05
gross_exposure,0.121,0.122,67794,6.7794e-05
gross_exposure,0.122,0.123,179468,0.000179468
gross_exposure,0.123,0.124,5122,5.122e-06
