metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,693797046,0.693797046
gross_exposure,0.001,0.002,19159614,0.019159614
gross_exposure,0.002,0.003,16582514,0.016582514
gross_exposure,0.003,0.004,20637582,0.020637582
gross_exposure,0.004,0.005,13811792,0.013811792
gross_exposure,0.005,0.006,13578586,0.013578586
gross_exposure,0.006,0.007,13275334,0.013275334
gross_exposure,0.007,0.008,13018464,0.013018464
gross_exposure,0.008,0.009,10609579,0.010609579
gross_exposure,0.009,0.01,12051499,0.012051499
gross_exposure,0.01,0.011,9548281,0.009548281
gross_exposure,0.011,0.012,10472812,0.010472812
gross_exposure,0.012,0.013,9921788,0.009921788
gross_exposure,0.013,0.014,8323584,0.008323584
gross_exposure,0.014,0.015,7763607,0.007763607
gross_exposure,0.015,0.016,7817156,0.007817156
gross_exposure,0.016,0.017,6520280,0.00652028
gross_exposure,0.017,0.018,6985078,0.006985078
gross_exposure,0.018,0.019,5515986,0.005515986
gross_exposure,0.019,0.02,6106060,0.00610606
gross_exposure,0.02,0.021,5508169,0.005508169
gross_exposure,0.021,0.022,5931553,0.005931553
gross_exposure,0.022,0.023,5169188,0.005169188
gross_exposure,0.023,0.024,5732484,0.005732484
gross_exposure,0.024,0.025,3586649,0.003586649
gross_exposure,0.025,0.026,3791224,0.003791224
gross_exposure,0.026,0.027,3489976,0.003489976
gross_exposure,0.027,0.028,3132460,0.00313246
gross_exposure,0.028,0.029,3827896,0.003827896
gross_exposure,0.029,0.03,2799761,0.002799761
gross_exposure,0.03,0.031,3241927,0.003241927
gross_exposure,0.031,0.032,2159186,0.002159186
gross_exposure,0.032,0.033,3313707,0.003313707
gross_exposure,0.033,0.034,2726881,0.002726881
gross_exposure,0.034,0.035,2153793,0.002153793
gross_exposure,0.035,0.036,2273117,0.002273117
gross_exposure,0.036,0.037,2067678,0.002067678
gross_exposure,0.037,0.038,1512043,0.001512043
gross_exposure,0.038,0.039,2043849,0.002043849
gross_exposure,0.039,0.04,2012315,0.002012315
gross_exposure,0.04,0.041,1643331,0.001643331
gross_exposure,0.041,0.042,1516276,0.001516276
gross_exposure,0.042,0.043,1412065,0.001412065
gross_exposure,0.043,0.044,1704008,0.001704008
gross_exposure,0.044,0.045,1004704,0.001004704
gross_exposure,0.045,0.046,1516795,0.001516795
gross_exposure,0.046,0.047,768130,0.00076813
gross_exposure,0.047,0.048,1069963,0.001069963
gross_exposure,0.048,0.049,1210911,0.001210911
gross_exposure,0.049,0.05,682081,0.000682081
gross_exposure,0.05,0.051,1050726,0.001050726
gross_exposure,0.051,0.052,859925,0.000859925
gross_exposure,0.052,0.053,945699,0.000945699
gross_exposure,0.053,0.054,704676,0.000704676
gross_exposure,0.054,0.055,396572,0.000396572
gross_exposure,0.055,0.056,761815,0.000761815
gross_exposure,0.056,0.057,577039,0.000577039
gross_exposure,0.057,0.058,526694,0.000526694
