metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,652354995,0.652354995
gross_exposure,0.003,0.004,7690374,0.007690374
gross_exposure,0.004,0.005,24390385,0.024390385
gross_exposure,0.005,0.006,12569195,0.012569195
gross_exposure,0.006,0.007,8585522,0.008585522
gross_exposure,0.007,0.008,8880313,0.008880313
gross_exposure,0.008,0.009,9057229,0.009057229
gross_exposure,0.009,0.01,18888822,0.018888822
gross_exposure,0.01,0.011,7673264,0.007673264
gross_exposure,0.011,0.012,13563152,0.013563152
gross_exposure,0.012,0.013,11337917,0.011337917
gross_exposure,0.013,0.014,8530490,0.00853049
gross_exposure,0.014,0.015,5908010,0.00590801
gross_exposure,0.015,0.016,14573529,0.014573529
gross_exposure,0.016,0.017,9202095,0.009202095
gross_exposure,0.017,0.018,7579316,0.007579316
gross_exposure,0.018,0.019,4790014,0.004790014
gross_exposure,0.019,0.02,4983841,0.004983841
gross_exposure,0.02,0.021,7545142,0.007545142
gross_exposure,0.021,0.022,7165648,0.007165648
gross_exposure,0.022,0.023,5792527,0.005792527
gross_exposure,0.023,0.024,5025330,0.00502533
gross_exposure,0.024,0.025,7183287,0.007183287
gross_exposure,0.025,0.026,7004095,0.007004095
gross_exposure,0.026,0.027,2472129,0.002472129
gross_exposure,0.027,0.028,5891464,0.005891464
gross_exposure,0.028,0.029,6700428,0.006700428
gross_exposure,0.029,0.03,3363322,0.003363322
gross_exposure,0.03,0.031,6824191,0.006824191
gross_exposure,0.031,0.032,2830785,0.002830785
gross_exposure,0.032,0.033,2462207,0.002462207
gross_exposure,0.033,0.034,6268297,0.006268297
gross_exposure,0.034,0.035,2436853,0.002436853
gross_exposure,0.035,0.036,6510025,0.006510025
gross_exposure,0.036,0.037,2418360,0.00241836
gross_exposure,0.037,0.038,2790874,0.002790874
gross_exposure,0.038,0.039,1871550,0.00187155
gross_exposure,0.039,0.04,2517382,0.002517382
gross_exposure,0.04,0.041,2482530,0.00248253
gross_exposure,0.041,0.042,4620876,0.004620876
gross_exposure,0.042,0.043,1257899,0.001257899
gross_exposure,0.043,0.044,2656910,0.00265691
gross_exposure,0.044,0.045,3404580,0.00340458
gross_exposure,0.045,0.046,1798587,0.001798587
gross_exposure,0.046,0.047,1021956,0.001021956
gross_exposure,0.047,0.048,3095878,0.003095878
gross_exposure,0.048,0.049,1797349,0.001797349
gross_exposure,0.049,0.05,19370,1.937e-05
gross_exposure,0.05,0.051,4510545,0.004510545
gross_exposure,0.051,0.052,817604,0.000817604
gross_exposure,0.052,0.053,1742757,0.001742757
gross_exposure,0.053,0.054,1714094,0.001714094
gross_exposure,0.054,0.055,3993603,0.003993603
gross_exposure,0.055,0.056,206720,0.00020672
gross_exposure,0.056,0.057,2201788,0.002201788
gross_exposure,0.057,0.058,1397953,0.001397953
gross_exposure,0.058,0.059,310124,0.000310124
gross_exposure,0.059,0.06,1866173,0.001866173
gross_exposure,0.06,0.061,1023345,0.001023345
gross_exposure,0.061,0.062,1319331,0.001319331
gross_exposure,0.062,0.063,27952,2.7952e-05
gross_exposure,0.063,0.064,2776728,0.002776728
gross_exposure,0.064,0.065,309366,0.000309366
gross_exposure,0.065,0.066,327349,0.000327349
gross_exposure,0.066,0.067,1939137,0.001939137
gross_exposure,0.067,0.068,1377537,0.001377537
gross_exposure,0.068,0.069,407986,0.000407986
gross_exposure,0.069,0.07,559787,0.000559787
gross_exposure,0.07,0.071,947712,0.000947712
