metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,797807647,0.797807647
gross_exposure,0.001,0.002,20913695,0.020913695
gross_exposure,0.002,0.003,18423868,0.018423868
gross_exposure,0.003,0.004,16419413,0.016419413
gross_exposure,0.004,0.005,14747606,0.014747606
gross_exposure,0.005,0.006,13824311,0.013824311
gross_exposure,0.006,0.007,11780949,0.011780949
gross_exposure,0.007,0.008,10338944,0.010338944
gross_exposure,0.008,0.009,9463272,0.009463272
gross_exposure,0.009,0.01,8818167,0.008818167
gross_exposure,0.01,0.011,7630676,0.007630676
gross_exposure,0.011,0.012,6885215,0.006885215
gross_exposure,0.012,0.013,6226341,0.006226341
gross_exposure,0.013,0.014,5395638,0.005395638
gross_exposure,0.014,0.015,4837472,0.004837472
gross_exposure,0.015,0.016,4596979,0.004596979
gross_exposure,0.016,0.017,4056451,0.004056451
gross_exposure,0.017,0.018,3555192,0.003555192
gross_exposure,0.018,0.019,3229918,0.003229918
gross_exposure,0.019,0.02,3042531,0.003042531
gross_exposure,0.02,0.021,2571831,0.002571831
gross_exposure,0.021,0.022,2286764,0.002286764
gross_exposure,0.022,0.023,2162669,0.002162669
gross_exposure,0.023,0.024,1950133,0.001950133
gross_exposure,0.024,0.025,1745460,0.00174546
gross_exposure,0.025,0.026,1565323,0.001565323
gross_exposure,0.026,0.027,1527089,0.001527089
gross_exposure,0.027,0.028,1226246,0.001226246
gross_exposure,0.028,0.029,1182915,0.001182915
gross_exposure,0.029,0.03,1082138,0.001082138
gross_exposure,0.03,0.031,878214,0.000878214
gross_exposure,0.031,0.032,874211,0.000874211
gross_exposure,0.032,0.033,805862,0.000805862
gross_exposure,0.033,0.034,689250,0.00068925
gross_exposure,0.034,0.035,634980,0.00063498
gross_exposure,0.035,0.036,568234,0.000568234
gross_exposure,0.036,0.037,561652,0.000561652
gross_exposure,0.037,0.038,417595,0.000417595
gross_exposure,0.038,0.039,436928,0.000436928
gross_exposure,0.039,0.04,409275,0.000409275
gross_exposure,0.04,0.041,322253,0.000322253
gross_exposure,0.041,0.042,333253,0.000333253
gross_exposure,0.042,0.043,283899,0.000283899
gross_exposure,0.043,0.044,253309,0.000253309
gross_exposure,0.044,0.045,194960,0.00019496
gross_exposure,0.045,0.046,251518,0.000251518
gross_exposure,0.046,0.047,221885,0.000221885
gross_exposure,0.047,0.048,158787,0.000158787
gross_exposure,0.048,0.049,165715,0.000165715
gross_exposure,0.049,0.05,159682,0.000159682
gross_exposure,0.05,0.051,131454,0.000131454
gross_exposure,0.051,0.052,117080,0.00011708
gross_exposure,0.052,0.053,134624,0.000134624
gross_exposure,0.053,0.054,99405,9.9405e-05
gross_exposure,0.054,0.055,90656,9.0656e-05
gross_exposure,0.055,0.056,90946,9.0946e-05
gross_exposure,0.056,0.057,88473,8.8473e-05
gross_exposure,0.057,0.058,80593,8.0593e-05
gross_exposure,0.058,0.059,74918,7.4918e-05
gross_exposure,0.059,0.06,68273,6.8273e-05
gross_exposure,0.06,0.061,62277,6.2277e-05
gross_exposure,0.061,0.062,49417,4.9417e-05
gross_exposure,0.062,0.063,57095,5.7095e-05
gross_exposure,0.063,0.064,48968,4.8968e-05
gross_exposure,0.064,0.065,51718,5.1718e-05
gross_exposure,0.065,0.066,43875,4.3875e-05
gross_exposure,0.066,0.067,46679,4.6679e-05
gross_exposure,0.067,0.068,33898,3.3898e-05
gross_exposure,0.068,0.069,36742,3.6742e-05
gross_exposure,0.069,0.07,36649,3.6649e-05
gross_exposure,0.07,0.071,30816,3.0816e-05
gross_exposure,0.071,0.072,29409,2.9409e-05
gross_exposure,0.072,0.073,32225,3.2225e-05
gross_exposure,0.073,0.074,27849,2.7849e-05
gross_exposure,0.074,0.075,22017,2.2017e-05
gross_exposure,0.075,0.076,19842,1.9842e-05
gross_exposure,0.076,0.077,21688,2.1688e-05
gross_exposure,0.077,0.078,22239,2.2239e-05
gross_exposure,0.078,0.079,22405,2.2405e-05
gross_exposure,0.079,0.08,19286,1.9286e-05
gross_exposure,0.08,0.081,17505,1.7505e-05
gross_exposure,0.081,0.082,15906,1.5906e-05
gross_exposure,0.082,0.083,16741,1.6741e-05
gross_exposure,0.083,0.084,16267,1.6267e-05
gross_exposure,0.084,0.085,13390,1.339e-05
gross_exposure,0.085,0.086,15107,1.5107e-05
gross_exposure,0.086,0.087,12783,1.2783e-05
gross_exposure,0.087,0.088,12516,1.2516e-05
gross_exposure,0.088,0.089,12737,1.2737e-05
gross_exposure,0.089,0.09,8070,8.07e-06
gross_exposure,0.09,0.091,11025,1.1025e-05
gross_exposure,0.091,0.092,11521,1.1521e-05
gross_exposure,0.092,0.093,11987,1.1987e-05
gross_exposure,0.093,0.094,9858,9.858e-06
gross_exposure,0.094,0.095,8054,8.054e-06
gross_exposure,0.095,0.096,7330,7.33e-06
gross_exposure,0.096,0.097,8626,8.626e-06
gross_exposure,0.097,0.098,8104,8.104e-06
gross_exposure,0.098,0.099,7138,7.138e-06
gross_exposure,0.099,0.1,8103,8.103e-06
gross_exposure,0.1,0.101,5959,5.959e-06
gross_exposure,0.101,0.102,6215,6.215e-06
gross_exposure,0.102,0.103,6255,6.255e-06
gross_exposure,0.103,0.104,5111,5.111e-06
gross_exposure,0.104,0.105,6663,6.663e-06
gross_exposure,0.105,0.106,5295,5.295e-06
gross_exposure,0.106,0.107,5036,5.036e-06
gross_exposure,0.107,0.108,4320,4.32e-06
gross_exposure,0.108,0.109,4165,4.165e-06
gross_exposure,0.109,0.11,4850,4.85e-06
gross_exposure,0.11,0.111,4311,4.311e-06
gross_exposure,0.111,0.112,3317,3.317e-06
gross_exposure,0.112,0.113,4149,4.149e-06
gross_exposure,0.113,0.114,3745,3.745e-06
gross_exposure,0.114,0.115,3444,3.444e-06
gross_exposure,0.115,0.116,3754,3.754e-06
gross_exposure,0.116,0.117,2442,2.442e-06
gross_exposure,0.117,0.118,3959,3.959e-06
