metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,952327065,0.952327065
gross_exposure,0.001,0.002,4647226,0.004647226
gross_exposure,0.002,0.003,4436160,0.00443616
gross_exposure,0.003,0.004,4136416,0.004136416
gross_exposure,0.004,0.005,3490170,0.00349017
gross_exposure,0.005,0.006,3231160,0.00323116
gross_exposure,0.006,0.007,2908761,0.002908761
gross_exposure,0.007,0.008,2507805,0.002507805
gross_exposure,0.008,0.009,2257432,0.002257432
gross_exposure,0.009,0.01,1987704,0.001987704
gross_exposure,0.01,0.011,2011706,0.002011706
gross_exposure,0.011,0.012,1587281,0.001587281
gross_exposure,0.012,0.013,1477918,0.001477918
gross_exposure,0.013,0.014,1351590,0.00135159
gross_exposure,0.014,0.015,1189394,0.001189394
gross_exposure,0.015,0.016,1023329,0.001023329
gross_exposure,0.016,0.017,1024668,0.001024668
gross_exposure,0.017,0.018,882858,0.000882858
gross_exposure,0.018,0.019,700193,0.000700193
gross_exposure,0.019,0.02,686427,0.000686427
gross_exposure,0.02,0.021,665994,0.000665994
gross_exposure,0.021,0.022,543695,0.000543695
gross_exposure,0.022,0.023,476567,0.000476567
gross_exposure,0.023,0.024,433260,0.00043326
gross_exposure,0.024,0.025,387251,0.000387251
gross_exposure,0.025,0.026,341789,0.000341789
gross_exposure,0.026,0.027,336956,0.000336956
gross_exposure,0.027,0.028,276942,0.000276942
gross_exposure,0.028,0.029,255371,0.000255371
gross_exposure,0.029,0.03,225179,0.000225179
gross_exposure,0.03,0.031,209516,0.000209516
gross_exposure,0.031,0.032,156682,0.000156682
gross_exposure,0.032,0.033,159990,0.00015999
gross_exposure,0.033,0.034,171903,0.000171903
gross_exposure,0.034,0.035,128417,0.000128417
gross_exposure,0.035,0.036,112892,0.000112892
gross_exposure,0.036,0.037,103373,0.000103373
gross_exposure,0.037,0.038,92203,9.2203e-05
gross_exposure,0.038,0.039,87220,8.722e-05
gross_exposure,0.039,0.04,72569,7.2569e-05
gross_exposure,0.04,0.041,74038,7.4038e-05
gross_exposure,0.041,0.042,65089,6.5089e-05
gross_exposure,0.042,0.043,58546,5.8546e-05
gross_exposure,0.043,0.044,54179,5.4179e-05
gross_exposure,0.044,0.045,42646,4.2646e-05
gross_exposure,0.045,0.046,40529,4.0529e-05
gross_exposure,0.046,0.047,42441,4.2441e-05
gross_exposure,0.047,0.048,35819,3.5819e-05
gross_exposure,0.048,0.049,27132,2.7132e-05
gross_exposure,0.049,0.05,35551,3.5551e-05
gross_exposure,0.05,0.051,27164,2.7164e-05
gross_exposure,0.051,0.052,24536,2.4536e-05
gross_exposure,0.052,0.053,23645,2.3645e-05
gross_exposure,0.053,0.054,24152,2.4152e-05
gross_exposure,0.054,0.055,20263,2.0263e-05
gross_exposure,0.055,0.056,17476,1.7476e-05
gross_exposure,0.056,0.057,18797,1.8797e-05
gross_exposure,0.057,0.058,14044,1.4044e-05
gross_exposure,0.058,0.059,14237,1.4237e-05
gross_exposure,0.059,0.06,15086,1.5086e-05
gross_exposure,0.06,0.061,11911,1.1911e-05
gross_exposure,0.061,0.062,13439,1.3439e-05
gross_exposure,0.062,0.063,10492,1.0492e-05
gross_exposure,0.063,0.064,8632,8.632e-06
gross_exposure,0.064,0.065,8910,8.91e-06
gross_exposure,0.065,0.066,9500,9.5e-06
gross_exposure,0.066,0.067,9540,9.54e-06
gross_exposure,0.067,0.068,9571,9.571e-06
gross_exposure,0.068,0.069,7751,7.751e-06
