metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,670957466,0.670957466
gross_exposure,0.001,0.002,18572656,0.018572656
gross_exposure,0.002,0.003,15669421,0.015669421
gross_exposure,0.003,0.004,11322723,0.011322723
gross_exposure,0.004,0.005,5287265,0.005287265
gross_exposure,0.005,0.006,8853001,0.008853001
gross_exposure,0.006,0.007,17471192,0.017471192
gross_exposure,0.007,0.008,16240148,0.016240148
gross_exposure,0.008,0.009,5338350,0.00533835
gross_exposure,0.009,0.01,10728100,0.0107281
gross_exposure,0.01,0.011,6478605,0.006478605
gross_exposure,0.011,0.012,10640496,0.010640496
gross_exposure,0.012,0.013,12552074,0.012552074
gross_exposure,0.013,0.014,6217139,0.006217139
gross_exposure,0.014,0.015,8165973,0.008165973
gross_exposure,0.015,0.016,7804296,0.007804296
gross_exposure,0.016,0.017,5440350,0.00544035
gross_exposure,0.017,0.018,8095319,0.008095319
gross_exposure,0.018,0.019,5749581,0.005749581
gross_exposure,0.019,0.02,3556660,0.00355666
gross_exposure,0.02,0.021,7732968,0.007732968
gross_exposure,0.021,0.022,5452879,0.005452879
gross_exposure,0.022,0.023,4937855,0.004937855
gross_exposure,0.023,0.024,6502137,0.006502137
gross_exposure,0.024,0.025,4416163,0.004416163
gross_exposure,0.025,0.026,4073714,0.004073714
gross_exposure,0.026,0.027,3129072,0.003129072
gross_exposure,0.027,0.028,6289486,0.006289486
gross_exposure,0.028,0.029,4439330,0.00443933
gross_exposure,0.029,0.03,4301429,0.004301429
gross_exposure,0.03,0.031,3612397,0.003612397
gross_exposure,0.031,0.032,963686,0.000963686
gross_exposure,0.032,0.033,5972937,0.005972937
gross_exposure,0.033,0.034,2615384,0.002615384
gross_exposure,0.034,0.035,3153871,0.003153871
gross_exposure,0.035,0.036,2546631,0.002546631
gross_exposure,0.036,0.037,4065047,0.004065047
gross_exposure,0.037,0.038,663294,0.000663294
gross_exposure,0.038,0.039,4347699,0.004347699
gross_exposure,0.039,0.04,1803446,0.001803446
gross_exposure,0.04,0.041,3939336,0.003939336
gross_exposure,0.041,0.042,1723428,0.001723428
gross_exposure,0.042,0.043,1906169,0.001906169
gross_exposure,0.043,0.044,2722507,0.002722507
gross_exposure,0.044,0.045,1434373,0.001434373
gross_exposure,0.045,0.046,1011272,0.001011272
gross_exposure,0.046,0.047,1315699,0.001315699
gross_exposure,0.047,0.048,3615403,0.003615403
gross_exposure,0.048,0.049,943087,0.000943087
gross_exposure,0.049,0.05,2880956,0.002880956
gross_exposure,0.05,0.051,2587619,0.002587619
gross_exposure,0.051,0.052,1608587,0.001608587
gross_exposure,0.052,0.053,1998180,0.00199818
gross_exposure,0.053,0.054,321758,0.000321758
gross_exposure,0.054,0.055,844681,0.000844681
gross_exposure,0.055,0.056,1276145,0.001276145
gross_exposure,0.056,0.057,1910755,0.001910755
