metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,761967957,0.761967957
gross_exposure,0.001,0.002,25078169,0.025078169
gross_exposure,0.002,0.003,21158251,0.021158251
gross_exposure,0.003,0.004,19725752,0.019725752
gross_exposure,0.004,0.005,17615215,0.017615215
gross_exposure,0.005,0.006,15381292,0.015381292
gross_exposure,0.006,0.007,13910983,0.013910983
gross_exposure,0.007,0.008,12821768,0.012821768
gross_exposure,0.008,0.009,11263254,0.011263254
gross_exposure,0.009,0.01,9971433,0.009971433
gross_exposure,0.01,0.011,8915181,0.008915181
gross_exposure,0.011,0.012,8232071,0.008232071
gross_exposure,0.012,0.013,7029535,0.007029535
gross_exposure,0.013,0.014,6596571,0.006596571
gross_exposure,0.014,0.015,5749417,0.005749417
gross_exposure,0.015,0.016,5319636,0.005319636
gross_exposure,0.016,0.017,4689792,0.004689792
gross_exposure,0.017,0.018,4330483,0.004330483
gross_exposure,0.018,0.019,3704373,0.003704373
gross_exposure,0.019,0.02,3350597,0.003350597
gross_exposure,0.02,0.021,3101441,0.003101441
gross_exposure,0.021,0.022,2894410,0.00289441
gross_exposure,0.022,0.023,2485610,0.00248561
gross_exposure,0.023,0.024,2271021,0.002271021
gross_exposure,0.024,0.025,2092904,0.002092904
gross_exposure,0.025,0.026,1750547,0.001750547
gross_exposure,0.026,0.027,1664508,0.001664508
gross_exposure,0.027,0.028,1616856,0.001616856
gross_exposure,0.028,0.029,1307371,0.001307371
gross_exposure,0.029,0.03,1213237,0.001213237
gross_exposure,0.03,0.031,1200982,0.001200982
gross_exposure,0.031,0.032,976845,0.000976845
gross_exposure,0.032,0.033,921233,0.000921233
gross_exposure,0.033,0.034,790146,0.000790146
gross_exposure,0.034,0.035,790409,0.000790409
gross_exposure,0.035,0.036,677025,0.000677025
gross_exposure,0.036,0.037,622495,0.000622495
gross_exposure,0.037,0.038,581010,0.00058101
gross_exposure,0.038,0.039,468250,0.00046825
gross_exposure,0.039,0.04,443839,0.000443839
gross_exposure,0.04,0.041,433362,0.000433362
gross_exposure,0.041,0.042,373106,0.000373106
gross_exposure,0.042,0.043,353021,0.000353021
gross_exposure,0.043,0.044,320776,0.000320776
gross_exposure,0.044,0.045,259520,0.00025952
gross_exposure,0.045,0.046,274379,0.000274379
gross_exposure,0.046,0.047,208925,0.000208925
gross_exposure,0.047,0.048,241989,0.000241989
gross_exposure,0.048,0.049,198262,0.000198262
gross_exposure,0.049,0.05,183109,0.000183109
gross_exposure,0.05,0.051,164364,0.000164364
gross_exposure,0.051,0.052,140331,0.000140331
gross_exposure,0.052,0.053,135105,0.000135105
gross_exposure,0.053,0.054,129813,0.000129813
gross_exposure,0.054,0.055,102685,0.000102685
gross_exposure,0.055,0.056,137640,0.00013764
gross_exposure,0.056,0.057,91928,9.1928e-05
gross_exposure,0.057,0.058,87307,8.7307e-05
gross_exposure,0.058,0.059,87256,8.7256e-05
gross_exposure,0.059,0.06,68561,6.8561e-05
gross_exposure,0.06,0.061,87525,8.7525e-05
gross_exposure,0.061,0.062,66729,6.6729e-05
gross_exposure,0.062,0.063,68994,6.8994e-05
gross_exposure,0.063,0.064,55141,5.5141e-05
gross_exposure,0.064,0.065,52623,5.2623e-05
gross_exposure,0.065,0.066,55436,5.5436e-05
gross_exposure,0.066,0.067,45573,4.5573e-05
gross_exposure,0.067,0.068,46726,4.6726e-05
gross_exposure,0.068,0.069,52722,5.2722e-05
gross_exposure,0.069,0.07,34150,3.415e-05
gross_exposure,0.07,0.071,42721,4.2721e-05
gross_exposure,0.071,0.072,33147,3.3147e-05
gross_exposure,0.072,0.073,34690,3.469e-05
gross_exposure,0.073,0.074,32315,3.2315e-05
gross_exposure,0.074,0.075,29335,2.9335e-05
gross_exposure,0.075,0.076,31893,3.1893e-05
gross_exposure,0.076,0.077,23629,2.3629e-05
gross_exposure,0.077,0.078,22717,2.2717e-05
gross_exposure,0.078,0.079,22556,2.2556e-05
gross_exposure,0.079,0.08,22202,2.2202e-05
gross_exposure,0.08,0.081,20071,2.0071e-05
