metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,877056352,0.877056352
gross_exposure,0.001,0.002,6468161,0.006468161
gross_exposure,0.002,0.003,7047559,0.007047559
gross_exposure,0.003,0.004,6743623,0.006743623
gross_exposure,0.004,0.005,5973419,0.005973419
gross_exposure,0.005,0.006,5304490,0.00530449
gross_exposure,0.006,0.007,5811631,0.005811631
gross_exposure,0.007,0.008,5141629,0.005141629
gross_exposure,0.008,0.009,4786320,0.00478632
gross_exposure,0.009,0.01,5468107,0.005468107
gross_exposure,0.01,0.011,4287953,0.004287953
gross_exposure,0.011,0.012,3835487,0.003835487
gross_exposure,0.012,0.013,3489477,0.003489477
gross_exposure,0.013,0.014,2993657,0.002993657
gross_exposure,0.014,0.015,3396598,0.003396598
gross_exposure,0.015,0.016,3409442,0.003409442
gross_exposure,0.016,0.017,3151397,0.003151397
gross_exposure,0.017,0.018,3054229,0.003054229
gross_exposure,0.018,0.019,3165309,0.003165309
gross_exposure,0.019,0.02,2006428,0.002006428
gross_exposure,0.02,0.021,2217936,0.002217936
gross_exposure,0.021,0.022,2044053,0.002044053
gross_exposure,0.022,0.023,2069776,0.002069776
gross_exposure,0.023,0.024,1846475,0.001846475
gross_exposure,0.024,0.025,904200,0.0009042
gross_exposure,0.025,0.026,2261964,0.002261964
gross_exposure,0.026,0.027,1848505,0.001848505
gross_exposure,0.027,0.028,1289159,0.001289159
gross_exposure,0.028,0.029,1953405,0.001953405
gross_exposure,0.029,0.03,1170508,0.001170508
gross_exposure,0.03,0.031,1331801,0.001331801
gross_exposure,0.031,0.032,687980,0.00068798
gross_exposure,0.032,0.033,1351342,0.001351342
gross_exposure,0.033,0.034,1227790,0.00122779
gross_exposure,0.034,0.035,371773,0.000371773
gross_exposure,0.035,0.036,1184147,0.001184147
gross_exposure,0.036,0.037,747382,0.000747382
gross_exposure,0.037,0.038,1075121,0.001075121
gross_exposure,0.038,0.039,591540,0.00059154
gross_exposure,0.039,0.04,818981,0.000818981
gross_exposure,0.04,0.041,680523,0.000680523
gross_exposure,0.041,0.042,455353,0.000455353
gross_exposure,0.042,0.043,709048,0.000709048
gross_exposure,0.043,0.044,328993,0.000328993
gross_exposure,0.044,0.045,699818,0.000699818
gross_exposure,0.045,0.046,239976,0.000239976
gross_exposure,0.046,0.047,755715,0.000755715
gross_exposure,0.047,0.048,128163,0.000128163
gross_exposure,0.048,0.049,489797,0.000489797
gross_exposure,0.049,0.05,338241,0.000338241
gross_exposure,0.05,0.051,356516,0.000356516
gross_exposure,0.051,0.052,356433,0.000356433
gross_exposure,0.052,0.053,219022,0.000219022
gross_exposure,0.053,0.054,381996,0.000381996
gross_exposure,0.054,0.055,175946,0.000175946
gross_exposure,0.055,0.056,375296,0.000375296
gross_exposure,0.056,0.057,158754,0.000158754
gross_exposure,0.057,0.058,196447,0.000196447
gross_exposure,0.058,0.059,283435,0.000283435
gross_exposure,0.059,0.06,214051,0.000214051
gross_exposure,0.06,0.061,154896,0.000154896
gross_exposure,0.061,0.062,99596,9.9596e-05
gross_exposure,0.062,0.063,212689,0.000212689
gross_exposure,0.063,0.064,76586,7.6586e-05
gross_exposure,0.064,0.065,100800,0.0001008
gross_exposure,0.065,0.066,208684,0.000208684
gross_exposure,0.066,0.067,48433,4.8433e-05
gross_exposure,0.067,0.068,96223,9.6223e-05
gross_exposure,0.068,0.069,215592,0.000215592
gross_exposure,0.069,0.07,26341,2.6341e-05
gross_exposure,0.07,0.071,117211,0.000117211
gross_exposure,0.071,0.072,96582,9.6582e-05
gross_exposure,0.072,0.073,43389,4.3389e-05
gross_exposure,0.073,0.074,85019,8.5019e-05
gross_exposure,0.074,0.075,102580,0.00010258
gross_exposure,0.075,0.076,44524,4.4524e-05
gross_exposure,0.076,0.077,30853,3.0853e-05
gross_exposure,0.077,0.078,117132,0.000117132
gross_exposure,0.078,0.079,67353,6.7353e-05
gross_exposure,0.079,0.08,23512,2.3512e-05
gross_exposure,0.08,0.081,69249,6.9249e-05
gross_exposure,0.081,0.082,23098,2.3098e-05
gross_exposure,0.082,0.083,41311,4.1311e-05
gross_exposure,0.083,0.084,38321,3.8321e-05
gross_exposure,0.084,0.085,41465,4.1465e-05
gross_exposure,0.085,0.086,41928,4.1928e-05
gross_exposure,0.086,0.087,14469,1.4469e-05
gross_exposure,0.087,0.088,41603,4.1603e-05
gross_exposure,0.088,0.089,29445,2.9445e-05
gross_exposure,0.089,0.09,38873,3.8873e-05
gross_exposure,0.09,0.091,22928,2.2928e-05
gross_exposure,0.091,0.092,7651,7.651e-06
gross_exposure,0.092,0.093,2234,2.234e-06
