metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,652327234,0.652327234
gross_exposure,0.003,0.004,7689995,0.007689995
gross_exposure,0.004,0.005,24389285,0.024389285
gross_exposure,0.005,0.006,12568619,0.012568619
gross_exposure,0.006,0.007,8585155,0.008585155
gross_exposure,0.007,0.008,8879921,0.008879921
gross_exposure,0.008,0.009,9056806,0.009056806
gross_exposure,0.009,0.01,18888210,0.01888821
gross_exposure,0.01,0.011,7672815,0.007672815
gross_exposure,0.011,0.012,13562452,0.013562452
gross_exposure,0.012,0.013,11338284,0.011338284
gross_exposure,0.013,0.014,8530087,0.008530087
gross_exposure,0.014,0.015,5907451,0.005907451
gross_exposure,0.015,0.016,14573024,0.014573024
gross_exposure,0.016,0.017,9203103,0.009203103
gross_exposure,0.017,0.018,7578987,0.007578987
gross_exposure,0.018,0.019,4789787,0.004789787
gross_exposure,0.019,0.02,4983639,0.004983639
gross_exposure,0.02,0.021,7544947,0.007544947
gross_exposure,0.021,0.022,7165478,0.007165478
gross_exposure,0.022,0.023,5792358,0.005792358
gross_exposure,0.023,0.024,5024996,0.005024996
gross_exposure,0.024,0.025,7183010,0.00718301
gross_exposure,0.025,0.026,7004450,0.00700445
gross_exposure,0.026,0.027,2472059,0.002472059
gross_exposure,0.027,0.028,5892209,0.005892209
gross_exposure,0.028,0.029,6700287,0.006700287
gross_exposure,0.029,0.03,3363097,0.003363097
gross_exposure,0.03,0.031,6823781,0.006823781
gross_exposure,0.031,0.032,2830737,0.002830737
gross_exposure,0.032,0.033,2462390,0.00246239
gross_exposure,0.033,0.034,6268789,0.006268789
gross_exposure,0.034,0.035,2436769,0.002436769
gross_exposure,0.035,0.036,6511735,0.006511735
gross_exposure,0.036,0.037,2418295,0.002418295
gross_exposure,0.037,0.038,2790760,0.00279076
gross_exposure,0.038,0.039,1871441,0.001871441
gross_exposure,0.039,0.04,2517935,0.002517935
gross_exposure,0.04,0.041,2482450,0.00248245
gross_exposure,0.041,0.042,4622112,0.004622112
gross_exposure,0.042,0.043,1257872,0.001257872
gross_exposure,0.043,0.044,2657137,0.002657137
gross_exposure,0.044,0.045,3404863,0.003404863
gross_exposure,0.045,0.046,1798726,0.001798726
gross_exposure,0.046,0.047,1021931,0.001021931
gross_exposure,0.047,0.048,3095503,0.003095503
gross_exposure,0.048,0.049,1797260,0.00179726
gross_exposure,0.049,0.05,19370,1.937e-05
gross_exposure,0.05,0.051,4511151,0.004511151
gross_exposure,0.051,0.052,817662,0.000817662
gross_exposure,0.052,0.053,1742872,0.001742872
gross_exposure,0.053,0.054,1714858,0.001714858
gross_exposure,0.054,0.055,3996312,0.003996312
gross_exposure,0.055,0.056,206717,0.000206717
gross_exposure,0.056,0.057,2203004,0.002203004
gross_exposure,0.057,0.058,1398194,0.001398194
gross_exposure,0.058,0.059,310108,0.000310108
gross_exposure,0.059,0.06,1866464,0.001866464
gross_exposure,0.06,0.061,1023336,0.001023336
gross_exposure,0.061,0.062,1319278,0.001319278
gross_exposure,0.062,0.063,27954,2.7954e-05
gross_exposure,0.063,0.064,2776995,0.002776995
gross_exposure,0.064,0.065,309398,0.000309398
gross_exposure,0.065,0.066,327343,0.000327343
gross_exposure,0.066,0.067,1940090,0.00194009
gross_exposure,0.067,0.068,1378646,0.001378646
gross_exposure,0.068,0.069,407953,0.000407953
gross_exposure,0.069,0.07,560007,0.000560007
gross_exposure,0.07,0.071,948838,0.000948838
gross_exposure,0.071,0.072,1177670,0.00117767
gross_exposure,0.072,0.073,1633008,0.001633008
gross_exposure,0.073,0.074,341726,0.000341726
gross_exposure,0.074,0.075,1292209,0.001292209
gross_exposure,0.075,0.076,237671,0.000237671
gross_exposure,0.076,0.077,549276,0.000549276
gross_exposure,0.077,0.078,323393,0.000323393
gross_exposure,0.078,0.079,473242,0.000473242
gross_exposure,0.079,0.08,652626,0.000652626
gross_exposure,0.08,0.081,670027,0.000670027
gross_exposure,0.081,0.082,428174,0.000428174
gross_exposure,0.082,0.083,14894,1.4894e-05
gross_exposure,0.083,0.084,624196,0.000624196
gross_exposure,0.084,0.085,27053,2.7053e-05
gross_exposure,0.085,0.086,1454031,0.001454031
gross_exposure,0.086,0.087,180244,0.000180244
gross_exposure,0.087,0.088,199567,0.000199567
gross_exposure,0.088,0.089,511521,0.000511521
gross_exposure,0.089,0.09,286583,0.000286583
gross_exposure,0.09,0.091,440427,0.000440427
gross_exposure,0.091,0.092,854320,0.00085432
gross_exposure,0.092,0.093,229362,0.000229362
gross_exposure,0.093,0.094,75665,7.5665e-05
gross_exposure,0.094,0.095,454136,0.000454136
gross_exposure,0.095,0.096,515532,0.000515532
gross_exposure,0.096,0.097,87771,8.7771e-05
gross_exposure,0.097,0.098,141848,0.000141848
gross_exposure,0.098,0.099,15605,1.5605e-05
gross_exposure,0.099,0.1,264094,0.000264094
gross_exposure,0.1,0.101,588934,0.000588934
gross_exposure,0.101,0.102,23086,2.3086e-05
gross_exposure,0.102,0.103,388360,0.00038836
gross_exposure,0.103,0.104,61056,6.1056e-05
gross_exposure,0.104,0.105,136296,0.000136296
gross_exposure,0.105,0.106,325760,0.00032576
gross_exposure,0.106,0.107,270756,0.000270756
gross_exposure,0.107,0.108,112450,0.00011245
gross_exposure,0.108,0.109,298371,0.000298371
gross_exposure,0.109,0.11,495096,0.000495096
gross_exposure,0.11,0.111,37712,3.7712e-05
gross_exposure,0.111,0.112,20151,2.0151e-05
gross_exposure,0.112,0.113,397969,0.000397969
gross_exposure,0.113,0.114,112593,0.000112593
gross_exposure,0.114,0.115,93220,9.322e-05
gross_exposure,0.115,0.116,67907,6.7907e-05
gross_exposure,0.116,0.117,54822,5.4822e-05
gross_exposure,0.117,0.118,11354,1.1354e-05
gross_exposure,0.118,0.119,54498,5.4498e-05
gross_exposure,0.119,0.12,277887,0.000277887
gross_exposure,0.12,0.121,183836,0.000183836
gross_exposure,0.121,0.122,82900,8.29e-05
gross_exposure,0.122,0.123,71600,7.16e-05
gross_exposure,0.123,0.124,21549,2.1549e-05
gross_exposure,0.124,0.125,95,9.5e-08
gross_exposure,0.125,0.126,77070,7.707e-05
gross_exposure,0.126,0.127,293486,0.000293486
gross_exposure,0.127,0.128,3475,3.475e-06
gross_exposure,0.128,0.129,276432,0.000276432
gross_exposure,0.129,0.13,22478,2.2478e-05
gross_exposure,0.13,0.131,33194,3.3194e-05
gross_exposure,0.131,0.132,30690,3.069e-05
gross_exposure,0.132,0.133,100601,0.000100601
gross_exposure,0.133,0.134,91118,9.1118e-05
gross_exposure,0.134,0.135,24723,2.4723e-05
gross_exposure,0.135,0.136,135429,0.000135429
gross_exposure,0.136,0.137,51974,5.1974e-05
gross_exposure,0.137,0.138,91711,9.1711e-05
gross_exposure,0.138,0.139,57671,5.7671e-05
gross_exposure,0.139,0.14,8240,8.24e-06
gross_exposure,0.14,0.141,15705,1.5705e-05
gross_exposure,0.141,0.142,119083,0.000119083
gross_exposure,0.142,0.143,55271,5.5271e-05
gross_exposure,0.143,0.144,24150,2.415e-05
gross_exposure,0.144,0.145,27555,2.7555e-05
gross_exposure,0.145,0.146,179497,0.000179497
gross_exposure,0.146,0.147,65105,6.5105e-05
gross_exposure,0.147,0.148,9056,9.056e-06
gross_exposure,0.148,0.149,29309,2.9309e-05
gross_exposure,0.149,0.15,83001,8.3001e-05
gross_exposure,0.15,0.151,11957,1.1957e-05
gross_exposure,0.151,0.152,99435,9.9435e-05
gross_exposure,0.152,0.153,36757,3.6757e-05
gross_exposure,0.153,0.154,14816,1.4816e-05
gross_exposure,0.154,0.155,22540,2.254e-05
gross_exposure,0.155,0.156,33624,3.3624e-05
gross_exposure,0.156,0.157,19609,1.9609e-05
gross_exposure,0.157,0.158,25365,2.5365e-05
gross_exposure,0.158,0.159,4722,4.722e-06
gross_exposure,0.159,0.16,85565,8.5565e-05
gross_exposure,0.16,0.161,23647,2.3647e-05
gross_exposure,0.161,0.162,46930,4.693e-05
gross_exposure,0.162,0.163,76279,7.6279e-05
gross_exposure,0.163,0.164,13741,1.3741e-05
gross_exposure,0.164,0.165,12972,1.2972e-05
gross_exposure,0.165,0.166,17218,1.7218e-05
gross_exposure,0.166,0.167,37514,3.7514e-05
gross_exposure,0.167,0.168,367,3.67e-07
gross_exposure,0.168,0.169,29996,2.9996e-05
gross_exposure,0.169,0.17,293,2.93e-07
gross_exposure,0.17,0.171,177407,0.000177407
gross_exposure,0.171,0.172,15004,1.5004e-05
gross_exposure,0.172,0.173,22604,2.2604e-05
gross_exposure,0.173,0.174,679,6.79e-07
gross_exposure,0.174,0.175,13068,1.3068e-05
gross_exposure,0.175,0.176,6042,6.042e-06
gross_exposure,0.176,0.177,6083,6.083e-06
gross_exposure,0.177,0.178,41660,4.166e-05
gross_exposure,0.178,0.179,39868,3.9868e-05
gross_exposure,0.179,0.18,14038,1.4038e-05
gross_exposure,0.18,0.181,60424,6.0424e-05
gross_exposure,0.181,0.182,987,9.87e-07
gross_exposure,0.182,0.183,104476,0.000104476
gross_exposure,0.183,0.184,4284,4.284e-06
gross_exposure,0.184,0.185,8912,8.912e-06
gross_exposure,0.185,0.186,16300,1.63e-05
gross_exposure,0.186,0.187,9628,9.628e-06
gross_exposure,0.187,0.188,1385,1.385e-06
gross_exposure,0.188,0.189,37774,3.7774e-05
gross_exposure,0.189,0.19,3837,3.837e-06
gross_exposure,0.19,0.191,88178,8.8178e-05
gross_exposure,0.191,0.192,52295,5.2295e-05
gross_exposure,0.192,0.193,1640,1.64e-06
gross_exposure,0.193,0.194,9213,9.213e-06
gross_exposure,0.194,0.195,13575,1.3575e-05
gross_exposure,0.195,0.196,1534,1.534e-06
gross_exposure,0.196,0.197,3397,3.397e-06
gross_exposure,0.197,0.198,8616,8.616e-06
gross_exposure,0.198,0.199,18465,1.8465e-05
gross_exposure,0.199,0.2,26038,2.6038e-05
gross_exposure,0.2,0.201,34645,3.4645e-05
gross_exposure,0.201,0.202,55871,5.5871e-05
gross_exposure,0.202,0.203,879,8.79e-07
gross_exposure,0.203,0.204,38697,3.8697e-05
gross_exposure,0.204,0.205,41323,4.1323e-05
gross_exposure,0.205,0.206,5365,5.365e-06
gross_exposure,0.206,0.207,1747,1.747e-06
gross_exposure,0.207,0.208,22440,2.244e-05
gross_exposure,0.208,0.209,16316,1.6316e-05
gross_exposure,0.209,0.21,5817,5.817e-06
gross_exposure,0.21,0.211,44154,4.4154e-05
gross_exposure,0.211,0.212,28563,2.8563e-05
gross_exposure,0.212,0.213,18484,1.8484e-05
gross_exposure,0.213,0.214,7189,7.189e-06
gross_exposure,0.214,0.215,7565,7.565e-06
gross_exposure,0.215,0.216,8743,8.743e-06
gross_exposure,0.216,0.217,30703,3.0703e-05
gross_exposure,0.218,0.219,59548,5.9548e-05
gross_exposure,0.219,0.22,55763,5.5763e-05
gross_exposure,0.221,0.222,6238,6.238e-06
gross_exposure,0.222,0.223,10606,1.0606e-05
gross_exposure,0.223,0.224,33,3.3e-08
gross_exposure,0.224,0.225,71128,7.1128e-05
gross_exposure,0.225,0.226,1253,1.253e-06
gross_exposure,0.226,0.227,3981,3.981e-06
gross_exposure,0.227,0.228,9902,9.902e-06
gross_exposure,0.228,0.229,3984,3.984e-06
gross_exposure,0.229,0.23,27389,2.7389e-05
gross_exposure,0.23,0.231,2787,2.787e-06
gross_exposure,0.231,0.232,2054,2.054e-06
gross_exposure,0.232,0.233,11037,1.1037e-05
gross_exposure,0.233,0.234,8573,8.573e-06
gross_exposure,0.234,0.235,14,1.4e-08
gross_exposure,0.235,0.236,4454,4.454e-06
gross_exposure,0.236,0.237,3758,3.758e-06
gross_exposure,0.237,0.238,1685,1.685e-06
gross_exposure,0.238,0.239,44549,4.4549e-05
