metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,876575296,0.876575296
gross_exposure,0.001,0.002,6475915,0.006475915
gross_exposure,0.002,0.003,6952381,0.006952381
gross_exposure,0.003,0.004,6605702,0.006605702
gross_exposure,0.004,0.005,5849361,0.005849361
gross_exposure,0.005,0.006,5223733,0.005223733
gross_exposure,0.006,0.007,5632429,0.005632429
gross_exposure,0.007,0.008,5079141,0.005079141
gross_exposure,0.008,0.009,4616284,0.004616284
gross_exposure,0.009,0.01,5354435,0.005354435
gross_exposure,0.01,0.011,4192345,0.004192345
gross_exposure,0.011,0.012,3729950,0.00372995
gross_exposure,0.012,0.013,3469789,0.003469789
gross_exposure,0.013,0.014,2930158,0.002930158
gross_exposure,0.014,0.015,3311669,0.003311669
gross_exposure,0.015,0.016,3384634,0.003384634
gross_exposure,0.016,0.017,3096332,0.003096332
gross_exposure,0.017,0.018,3003189,0.003003189
gross_exposure,0.018,0.019,3115290,0.00311529
gross_exposure,0.019,0.02,2057766,0.002057766
gross_exposure,0.02,0.021,2151905,0.002151905
gross_exposure,0.021,0.022,2109214,0.002109214
gross_exposure,0.022,0.023,2066727,0.002066727
gross_exposure,0.023,0.024,1831168,0.001831168
gross_exposure,0.024,0.025,956411,0.000956411
gross_exposure,0.025,0.026,2222954,0.002222954
gross_exposure,0.026,0.027,1840907,0.001840907
gross_exposure,0.027,0.028,1272754,0.001272754
gross_exposure,0.028,0.029,1969175,0.001969175
gross_exposure,0.029,0.03,1172876,0.001172876
gross_exposure,0.03,0.031,1367728,0.001367728
gross_exposure,0.031,0.032,722358,0.000722358
gross_exposure,0.032,0.033,1350666,0.001350666
gross_exposure,0.033,0.034,1221316,0.001221316
gross_exposure,0.034,0.035,405198,0.000405198
gross_exposure,0.035,0.036,1230525,0.001230525
gross_exposure,0.036,0.037,755390,0.00075539
gross_exposure,0.037,0.038,1129428,0.001129428
gross_exposure,0.038,0.039,578095,0.000578095
gross_exposure,0.039,0.04,854117,0.000854117
gross_exposure,0.04,0.041,716294,0.000716294
gross_exposure,0.041,0.042,468576,0.000468576
