metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,619902274,0.619902274
gross_exposure,0.001,0.002,20278190,0.02027819
gross_exposure,0.002,0.003,12522337,0.012522337
gross_exposure,0.003,0.004,11662606,0.011662606
gross_exposure,0.004,0.005,17131295,0.017131295
gross_exposure,0.005,0.006,9423058,0.009423058
gross_exposure,0.006,0.007,13220670,0.01322067
gross_exposure,0.007,0.008,13295029,0.013295029
gross_exposure,0.008,0.009,8437804,0.008437804
gross_exposure,0.009,0.01,14042178,0.014042178
gross_exposure,0.01,0.011,7028632,0.007028632
gross_exposure,0.011,0.012,9393553,0.009393553
gross_exposure,0.012,0.013,12196235,0.012196235
gross_exposure,0.013,0.014,7347404,0.007347404
gross_exposure,0.014,0.015,9362224,0.009362224
gross_exposure,0.015,0.016,10944733,0.010944733
gross_exposure,0.016,0.017,9724568,0.009724568
gross_exposure,0.017,0.018,6450318,0.006450318
gross_exposure,0.018,0.019,7288448,0.007288448
gross_exposure,0.019,0.02,4034489,0.004034489
gross_exposure,0.02,0.021,9006414,0.009006414
gross_exposure,0.021,0.022,7801644,0.007801644
gross_exposure,0.022,0.023,5033595,0.005033595
gross_exposure,0.023,0.024,5507538,0.005507538
gross_exposure,0.024,0.025,7967735,0.007967735
gross_exposure,0.025,0.026,6633872,0.006633872
gross_exposure,0.026,0.027,5017631,0.005017631
gross_exposure,0.027,0.028,5438167,0.005438167
gross_exposure,0.028,0.029,5386975,0.005386975
gross_exposure,0.029,0.03,4169901,0.004169901
gross_exposure,0.03,0.031,6560875,0.006560875
gross_exposure,0.031,0.032,2235836,0.002235836
gross_exposure,0.032,0.033,3907768,0.003907768
gross_exposure,0.033,0.034,4772241,0.004772241
gross_exposure,0.034,0.035,3896241,0.003896241
gross_exposure,0.035,0.036,4138220,0.00413822
gross_exposure,0.036,0.037,3942868,0.003942868
gross_exposure,0.037,0.038,3405881,0.003405881
gross_exposure,0.038,0.039,2027515,0.002027515
gross_exposure,0.039,0.04,3354074,0.003354074
gross_exposure,0.04,0.041,2773347,0.002773347
gross_exposure,0.041,0.042,5234303,0.005234303
gross_exposure,0.042,0.043,1021419,0.001021419
gross_exposure,0.043,0.044,2921036,0.002921036
gross_exposure,0.044,0.045,3282472,0.003282472
gross_exposure,0.045,0.046,1735692,0.001735692
gross_exposure,0.046,0.047,2073428,0.002073428
gross_exposure,0.047,0.048,2938209,0.002938209
gross_exposure,0.048,0.049,2483054,0.002483054
gross_exposure,0.049,0.05,1255957,0.001255957
gross_exposure,0.05,0.051,2694827,0.002694827
gross_exposure,0.051,0.052,2040539,0.002040539
gross_exposure,0.052,0.053,1244111,0.001244111
gross_exposure,0.053,0.054,1410281,0.001410281
gross_exposure,0.054,0.055,2739912,0.002739912
gross_exposure,0.055,0.056,1460060,0.00146006
gross_exposure,0.056,0.057,1940539,0.001940539
gross_exposure,0.057,0.058,1316598,0.001316598
gross_exposure,0.058,0.059,579761,0.000579761
gross_exposure,0.059,0.06,2421385,0.002421385
gross_exposure,0.06,0.061,1224552,0.001224552
gross_exposure,0.061,0.062,900025,0.000900025
gross_exposure,0.062,0.063,16820,1.682e-05
gross_exposure,0.063,0.064,3600546,0.003600546
gross_exposure,0.064,0.065,166617,0.000166617
gross_exposure,0.065,0.066,578580,0.00057858
gross_exposure,0.066,0.067,1480833,0.001480833
gross_exposure,0.067,0.068,1320869,0.001320869
gross_exposure,0.068,0.069,600599,0.000600599
gross_exposure,0.069,0.07,843100,0.0008431
gross_exposure,0.07,0.071,709079,0.000709079
gross_exposure,0.071,0.072,1159189,0.001159189
gross_exposure,0.072,0.073,1124201,0.001124201
gross_exposure,0.073,0.074,673872,0.000673872
gross_exposure,0.074,0.075,826557,0.000826557
gross_exposure,0.075,0.076,415101,0.000415101
gross_exposure,0.076,0.077,828067,0.000828067
gross_exposure,0.077,0.078,710710,0.00071071
gross_exposure,0.078,0.079,474396,0.000474396
gross_exposure,0.079,0.08,568875,0.000568875
gross_exposure,0.08,0.081,512427,0.000512427
gross_exposure,0.081,0.082,784990,0.00078499
gross_exposure,0.082,0.083,483944,0.000483944
gross_exposure,0.083,0.084,651528,0.000651528
gross_exposure,0.084,0.085,8375,8.375e-06
gross_exposure,0.085,0.086,886664,0.000886664
gross_exposure,0.086,0.087,185874,0.000185874
gross_exposure,0.087,0.088,700462,0.000700462
gross_exposure,0.088,0.089,244055,0.000244055
gross_exposure,0.089,0.09,303028,0.000303028
gross_exposure,0.09,0.091,370949,0.000370949
gross_exposure,0.091,0.092,543736,0.000543736
gross_exposure,0.092,0.093,452978,0.000452978
gross_exposure,0.093,0.094,308747,0.000308747
gross_exposure,0.094,0.095,346628,0.000346628
gross_exposure,0.095,0.096,405938,0.000405938
gross_exposure,0.096,0.097,65004,6.5004e-05
gross_exposure,0.097,0.098,360915,0.000360915
gross_exposure,0.098,0.099,157507,0.000157507
gross_exposure,0.099,0.1,186462,0.000186462
gross_exposure,0.1,0.101,516208,0.000516208
gross_exposure,0.101,0.102,109102,0.000109102
gross_exposure,0.102,0.103,267877,0.000267877
gross_exposure,0.103,0.104,175167,0.000175167
gross_exposure,0.104,0.105,223786,0.000223786
gross_exposure,0.105,0.106,220777,0.000220777
gross_exposure,0.106,0.107,205349,0.000205349
gross_exposure,0.107,0.108,74749,7.4749e-05
gross_exposure,0.108,0.109,188045,0.000188045
gross_exposure,0.109,0.11,286822,0.000286822
gross_exposure,0.11,0.111,88963,8.8963e-05
gross_exposure,0.111,0.112,175331,0.000175331
gross_exposure,0.112,0.113,196395,0.000196395
gross_exposure,0.113,0.114,230659,0.000230659
gross_exposure,0.114,0.115,82558,8.2558e-05
gross_exposure,0.115,0.116,63124,6.3124e-05
gross_exposure,0.116,0.117,52878,5.2878e-05
gross_exposure,0.117,0.118,38346,3.8346e-05
gross_exposure,0.118,0.119,79917,7.9917e-05
gross_exposure,0.119,0.12,314715,0.000314715
gross_exposure,0.12,0.121,162337,0.000162337
gross_exposure,0.121,0.122,141475,0.000141475
gross_exposure,0.122,0.123,53758,5.3758e-05
gross_exposure,0.123,0.124,11291,1.1291e-05
gross_exposure,0.124,0.125,109,1.09e-07
gross_exposure,0.125,0.126,18199,1.8199e-05
gross_exposure,0.126,0.127,262284,0.000262284
gross_exposure,0.127,0.128,1262,1.262e-06
gross_exposure,0.128,0.129,287075,0.000287075
gross_exposure,0.129,0.13,3652,3.652e-06
gross_exposure,0.13,0.131,11273,1.1273e-05
gross_exposure,0.131,0.132,26392,2.6392e-05
gross_exposure,0.132,0.133,42852,4.2852e-05
gross_exposure,0.133,0.134,56289,5.6289e-05
gross_exposure,0.134,0.135,61470,6.147e-05
gross_exposure,0.135,0.136,69404,6.9404e-05
gross_exposure,0.136,0.137,73485,7.3485e-05
gross_exposure,0.137,0.138,106160,0.00010616
gross_exposure,0.138,0.139,27385,2.7385e-05
gross_exposure,0.139,0.14,24776,2.4776e-05
gross_exposure,0.14,0.141,12376,1.2376e-05
gross_exposure,0.141,0.142,49522,4.9522e-05
gross_exposure,0.142,0.143,24665,2.4665e-05
gross_exposure,0.143,0.144,66840,6.684e-05
gross_exposure,0.144,0.145,23290,2.329e-05
gross_exposure,0.145,0.146,88611,8.8611e-05
gross_exposure,0.146,0.147,44052,4.4052e-05
gross_exposure,0.147,0.148,29810,2.981e-05
gross_exposure,0.148,0.149,16152,1.6152e-05
gross_exposure,0.149,0.15,34442,3.4442e-05
gross_exposure,0.15,0.151,23243,2.3243e-05
gross_exposure,0.151,0.152,18351,1.8351e-05
gross_exposure,0.152,0.153,61876,6.1876e-05
gross_exposure,0.153,0.154,1840,1.84e-06
gross_exposure,0.154,0.155,22673,2.2673e-05
gross_exposure,0.155,0.156,42402,4.2402e-05
gross_exposure,0.156,0.157,23421,2.3421e-05
gross_exposure,0.157,0.158,15498,1.5498e-05
gross_exposure,0.158,0.159,7494,7.494e-06
gross_exposure,0.159,0.16,33179,3.3179e-05
gross_exposure,0.16,0.161,12985,1.2985e-05
gross_exposure,0.161,0.162,18748,1.8748e-05
gross_exposure,0.162,0.163,16622,1.6622e-05
gross_exposure,0.163,0.164,45689,4.5689e-05
gross_exposure,0.164,0.165,3673,3.673e-06
gross_exposure,0.165,0.166,42523,4.2523e-05
gross_exposure,0.166,0.167,17312,1.7312e-05
gross_exposure,0.167,0.168,2681,2.681e-06
gross_exposure,0.168,0.169,2853,2.853e-06
gross_exposure,0.169,0.17,4092,4.092e-06
gross_exposure,0.17,0.171,55611,5.5611e-05
gross_exposure,0.171,0.172,5319,5.319e-06
gross_exposure,0.172,0.173,2572,2.572e-06
gross_exposure,0.173,0.174,5847,5.847e-06
gross_exposure,0.174,0.175,25265,2.5265e-05
gross_exposure,0.175,0.176,16782,1.6782e-05
gross_exposure,0.176,0.177,3298,3.298e-06
gross_exposure,0.177,0.178,10780,1.078e-05
gross_exposure,0.178,0.179,9185,9.185e-06
gross_exposure,0.179,0.18,4293,4.293e-06
gross_exposure,0.18,0.181,21464,2.1464e-05
gross_exposure,0.181,0.182,2153,2.153e-06
gross_exposure,0.182,0.183,29441,2.9441e-05
gross_exposure,0.183,0.184,1131,1.131e-06
gross_exposure,0.184,0.185,16826,1.6826e-05
gross_exposure,0.185,0.186,6853,6.853e-06
gross_exposure,0.186,0.187,1429,1.429e-06
gross_exposure,0.187,0.188,14022,1.4022e-05
gross_exposure,0.188,0.189,12326,1.2326e-05
gross_exposure,0.189,0.19,2593,2.593e-06
gross_exposure,0.19,0.191,10103,1.0103e-05
gross_exposure,0.191,0.192,17527,1.7527e-05
gross_exposure,0.192,0.193,261,2.61e-07
gross_exposure,0.193,0.194,2110,2.11e-06
gross_exposure,0.194,0.195,4265,4.265e-06
gross_exposure,0.195,0.196,10918,1.0918e-05
gross_exposure,0.196,0.197,1387,1.387e-06
gross_exposure,0.197,0.198,4823,4.823e-06
gross_exposure,0.198,0.199,1652,1.652e-06
gross_exposure,0.199,0.2,9703,9.703e-06
gross_exposure,0.2,0.201,3664,3.664e-06
gross_exposure,0.201,0.202,17630,1.763e-05
gross_exposure,0.202,0.203,6448,6.448e-06
gross_exposure,0.203,0.204,1671,1.671e-06
gross_exposure,0.204,0.205,12275,1.2275e-05
gross_exposure,0.205,0.206,412,4.12e-07
gross_exposure,0.206,0.207,1651,1.651e-06
gross_exposure,0.207,0.208,3380,3.38e-06
gross_exposure,0.208,0.209,8346,8.346e-06
gross_exposure,0.209,0.21,2852,2.852e-06
gross_exposure,0.21,0.211,7734,7.734e-06
gross_exposure,0.211,0.212,3296,3.296e-06
gross_exposure,0.212,0.213,429,4.29e-07
gross_exposure,0.213,0.214,6483,6.483e-06
gross_exposure,0.214,0.215,1276,1.276e-06
gross_exposure,0.215,0.216,3904,3.904e-06
gross_exposure,0.216,0.217,1283,1.283e-06
gross_exposure,0.217,0.218,1663,1.663e-06
gross_exposure,0.218,0.219,2774,2.774e-06
gross_exposure,0.219,0.22,11128,1.1128e-05
gross_exposure,0.22,0.221,272,2.72e-07
gross_exposure,0.221,0.222,2754,2.754e-06
gross_exposure,0.222,0.223,7072,7.072e-06
gross_exposure,0.223,0.224,302,3.02e-07
gross_exposure,0.224,0.225,6686,6.686e-06
gross_exposure,0.225,0.226,657,6.57e-07
gross_exposure,0.226,0.227,5070,5.07e-06
gross_exposure,0.227,0.228,3624,3.624e-06
gross_exposure,0.228,0.229,151,1.51e-07
gross_exposure,0.229,0.23,3719,3.719e-06
gross_exposure,0.23,0.231,999,9.99e-07
gross_exposure,0.231,0.232,393,3.93e-07
gross_exposure,0.232,0.233,1524,1.524e-06
gross_exposure,0.233,0.234,1719,1.719e-06
gross_exposure,0.234,0.235,504,5.04e-07
gross_exposure,0.235,0.236,497,4.97e-07
gross_exposure,0.236,0.237,967,9.67e-07
gross_exposure,0.237,0.238,172,1.72e-07
gross_exposure,0.238,0.239,7320,7.32e-06
gross_exposure,0.239,0.24,3893,3.893e-06
gross_exposure,0.24,0.241,3180,3.18e-06
gross_exposure,0.241,0.242,3574,3.574e-06
gross_exposure,0.242,0.243,2190,2.19e-06
gross_exposure,0.243,0.244,2110,2.11e-06
gross_exposure,0.244,0.245,1285,1.285e-06
gross_exposure,0.245,0.246,1621,1.621e-06
gross_exposure,0.246,0.247,169,1.69e-07
gross_exposure,0.247,0.248,716,7.16e-07
gross_exposure,0.248,0.249,357,3.57e-07
gross_exposure,0.249,0.25,276,2.76e-07
gross_exposure,0.25,0.251,200,2e-07
gross_exposure,0.251,0.252,19,1.9e-08
gross_exposure,0.252,0.253,129,1.29e-07
gross_exposure,0.253,0.254,1526,1.526e-06
gross_exposure,0.255,0.256,1842,1.842e-06
gross_exposure,0.256,0.257,11887,1.1887e-05
gross_exposure,0.257,0.258,28,2.8e-08
gross_exposure,0.258,0.259,7,7e-09
gross_exposure,0.259,0.26,149,1.49e-07
gross_exposure,0.26,0.261,115,1.15e-07
gross_exposure,0.261,0.262,278,2.78e-07
gross_exposure,0.262,0.263,489,4.89e-07
gross_exposure,0.263,0.264,592,5.92e-07
gross_exposure,0.264,0.265,276,2.76e-07
gross_exposure,0.265,0.266,112,1.12e-07
gross_exposure,0.266,0.267,360,3.6e-07
gross_exposure,0.267,0.268,264,2.64e-07
gross_exposure,0.268,0.269,617,6.17e-07
gross_exposure,0.269,0.27,477,4.77e-07
gross_exposure,0.27,0.271,1114,1.114e-06
gross_exposure,0.271,0.272,750,7.5e-07
gross_exposure,0.272,0.273,1043,1.043e-06
gross_exposure,0.273,0.274,2071,2.071e-06
gross_exposure,0.274,0.275,1295,1.295e-06
gross_exposure,0.275,0.276,2064,2.064e-06
gross_exposure,0.276,0.277,526,5.26e-07
gross_exposure,0.277,0.278,142,1.42e-07
gross_exposure,0.278,0.279,193,1.93e-07
gross_exposure,0.279,0.28,138,1.38e-07
gross_exposure,0.28,0.281,214,2.14e-07
gross_exposure,0.281,0.282,536,5.36e-07
gross_exposure,0.282,0.283,567,5.67e-07
gross_exposure,0.283,0.284,120,1.2e-07
gross_exposure,0.284,0.285,266,2.66e-07
gross_exposure,0.285,0.286,341,3.41e-07
gross_exposure,0.286,0.287,186,1.86e-07
gross_exposure,0.287,0.288,1205,1.205e-06
gross_exposure,0.288,0.289,22,2.2e-08
gross_exposure,0.289,0.29,689,6.89e-07
gross_exposure,0.29,0.291,348,3.48e-07
gross_exposure,0.291,0.292,746,7.46e-07
gross_exposure,0.292,0.293,150,1.5e-07
gross_exposure,0.293,0.294,1353,1.353e-06
gross_exposure,0.294,0.295,125,1.25e-07
gross_exposure,0.295,0.296,102,1.02e-07
gross_exposure,0.296,0.297,172,1.72e-07
gross_exposure,0.297,0.298,103,1.03e-07
gross_exposure,0.298,0.299,263,2.63e-07
gross_exposure,0.299,0.3,191,1.91e-07
gross_exposure,0.3,0.301,343,3.43e-07
gross_exposure,0.301,0.302,507,5.07e-07
gross_exposure,0.302,0.303,368,3.68e-07
gross_exposure,0.303,0.304,179,1.79e-07
gross_exposure,0.304,0.305,50,5e-08
gross_exposure,0.305,0.306,627,6.27e-07
gross_exposure,0.306,0.307,35,3.5e-08
gross_exposure,0.307,0.308,391,3.91e-07
gross_exposure,0.308,0.309,432,4.32e-07
gross_exposure,0.309,0.31,30,3e-08
gross_exposure,0.31,0.311,152,1.52e-07
gross_exposure,0.311,0.312,188,1.88e-07
gross_exposure,0.312,0.313,812,8.12e-07
gross_exposure,0.313,0.314,23,2.3e-08
gross_exposure,0.314,0.315,137,1.37e-07
gross_exposure,0.315,0.316,82,8.2e-08
gross_exposure,0.316,0.317,238,2.38e-07
gross_exposure,0.317,0.318,355,3.55e-07
gross_exposure,0.318,0.319,161,1.61e-07
gross_exposure,0.32,0.321,177,1.77e-07
gross_exposure,0.321,0.322,225,2.25e-07
gross_exposure,0.322,0.323,112,1.12e-07
gross_exposure,0.323,0.324,91,9.1e-08
gross_exposure,0.324,0.325,64,6.4e-08
gross_exposure,0.325,0.326,26,2.6e-08
gross_exposure,0.326,0.327,286,2.86e-07
gross_exposure,0.327,0.328,186,1.86e-07
gross_exposure,0.328,0.329,11,1.1e-08
gross_exposure,0.329,0.33,344,3.44e-07
gross_exposure,0.33,0.331,103,1.03e-07
gross_exposure,0.331,0.332,348,3.48e-07
gross_exposure,0.332,0.333,98,9.8e-08
gross_exposure,0.333,0.334,243,2.43e-07
gross_exposure,0.334,0.335,71,7.1e-08
gross_exposure,0.335,0.336,1,1e-09
gross_exposure,0.336,0.337,169,1.69e-07
gross_exposure,0.337,0.338,9,9e-09
gross_exposure,0.338,0.339,140,1.4e-07
gross_exposure,0.339,0.34,117,1.17e-07
gross_exposure,0.34,0.341,269,2.69e-07
gross_exposure,0.341,0.342,96,9.6e-08
gross_exposure,0.342,0.343,3,3e-09
gross_exposure,0.343,0.344,134,1.34e-07
gross_exposure,0.344,0.345,68,6.8e-08
gross_exposure,0.345,0.346,4,4e-09
gross_exposure,0.346,0.347,42,4.2e-08
gross_exposure,0.347,0.348,16,1.6e-08
gross_exposure,0.348,0.349,105,1.05e-07
gross_exposure,0.349,0.35,204,2.04e-07
