metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,680480617,0.680480617
gross_exposure,0.001,0.002,24100909,0.024100909
gross_exposure,0.002,0.003,16909909,0.016909909
gross_exposure,0.003,0.004,19220159,0.019220159
gross_exposure,0.004,0.005,17248169,0.017248169
gross_exposure,0.005,0.006,12769223,0.012769223
gross_exposure,0.006,0.007,14773440,0.01477344
gross_exposure,0.007,0.008,11642602,0.011642602
gross_exposure,0.008,0.009,12214572,0.012214572
gross_exposure,0.009,0.01,11649162,0.011649162
gross_exposure,0.01,0.011,10450895,0.010450895
gross_exposure,0.011,0.012,10130436,0.010130436
gross_exposure,0.012,0.013,10270492,0.010270492
gross_exposure,0.013,0.014,7794574,0.007794574
gross_exposure,0.014,0.015,10381141,0.010381141
gross_exposure,0.015,0.016,7388486,0.007388486
gross_exposure,0.016,0.017,6045939,0.006045939
gross_exposure,0.017,0.018,6777049,0.006777049
gross_exposure,0.018,0.019,5656787,0.005656787
gross_exposure,0.019,0.02,7320227,0.007320227
gross_exposure,0.02,0.021,5343509,0.005343509
gross_exposure,0.021,0.022,5559201,0.005559201
gross_exposure,0.022,0.023,5045297,0.005045297
gross_exposure,0.023,0.024,5216264,0.005216264
gross_exposure,0.024,0.025,4900591,0.004900591
gross_exposure,0.025,0.026,3260323,0.003260323
gross_exposure,0.026,0.027,4457978,0.004457978
gross_exposure,0.027,0.028,4122201,0.004122201
gross_exposure,0.028,0.029,3178674,0.003178674
gross_exposure,0.029,0.03,2502957,0.002502957
gross_exposure,0.03,0.031,3431706,0.003431706
gross_exposure,0.031,0.032,3257661,0.003257661
gross_exposure,0.032,0.033,2599725,0.002599725
gross_exposure,0.033,0.034,3045694,0.003045694
gross_exposure,0.034,0.035,2397300,0.0023973
gross_exposure,0.035,0.036,1594388,0.001594388
gross_exposure,0.036,0.037,2127341,0.002127341
gross_exposure,0.037,0.038,2169750,0.00216975
gross_exposure,0.038,0.039,2139016,0.002139016
gross_exposure,0.039,0.04,1147775,0.001147775
gross_exposure,0.04,0.041,1957141,0.001957141
gross_exposure,0.041,0.042,1758211,0.001758211
gross_exposure,0.042,0.043,1523851,0.001523851
gross_exposure,0.043,0.044,1461979,0.001461979
gross_exposure,0.044,0.045,1447109,0.001447109
gross_exposure,0.045,0.046,1203766,0.001203766
gross_exposure,0.046,0.047,767442,0.000767442
gross_exposure,0.047,0.048,1354162,0.001354162
gross_exposure,0.048,0.049,1047834,0.001047834
gross_exposure,0.049,0.05,843150,0.00084315
gross_exposure,0.05,0.051,803970,0.00080397
gross_exposure,0.051,0.052,976138,0.000976138
gross_exposure,0.052,0.053,727287,0.000727287
gross_exposure,0.053,0.054,1009830,0.00100983
gross_exposure,0.054,0.055,737976,0.000737976
gross_exposure,0.055,0.056,528566,0.000528566
gross_exposure,0.056,0.057,562166,0.000562166
gross_exposure,0.057,0.058,513754,0.000513754
gross_exposure,0.058,0.059,776170,0.00077617
gross_exposure,0.059,0.06,179839,0.000179839
gross_exposure,0.06,0.061,870700,0.0008707
gross_exposure,0.061,0.062,237624,0.000237624
gross_exposure,0.062,0.063,735801,0.000735801
gross_exposure,0.063,0.064,323148,0.000323148
gross_exposure,0.064,0.065,337184,0.000337184
gross_exposure,0.065,0.066,368430,0.00036843
gross_exposure,0.066,0.067,302217,0.000302217
gross_exposure,0.067,0.068,424345,0.000424345
gross_exposure,0.068,0.069,261376,0.000261376
gross_exposure,0.069,0.07,369950,0.00036995
gross_exposure,0.07,0.071,244757,0.000244757
gross_exposure,0.071,0.072,149200,0.0001492
gross_exposure,0.072,0.073,350369,0.000350369
gross_exposure,0.073,0.074,164581,0.000164581
gross_exposure,0.074,0.075,215997,0.000215997
gross_exposure,0.075,0.076,139699,0.000139699
gross_exposure,0.076,0.077,182989,0.000182989
gross_exposure,0.077,0.078,224434,0.000224434
gross_exposure,0.078,0.079,33352,3.3352e-05
gross_exposure,0.079,0.08,276930,0.00027693
gross_exposure,0.08,0.081,125667,0.000125667
gross_exposure,0.081,0.082,55563,5.5563e-05
gross_exposure,0.082,0.083,272717,0.000272717
gross_exposure,0.083,0.084,91070,9.107e-05
gross_exposure,0.084,0.085,111028,0.000111028
gross_exposure,0.085,0.086,121272,0.000121272
gross_exposure,0.086,0.087,67376,6.7376e-05
gross_exposure,0.087,0.088,127010,0.00012701
gross_exposure,0.088,0.089,117804,0.000117804
gross_exposure,0.089,0.09,80180,8.018e-05
gross_exposure,0.09,0.091,58776,5.8776e-05
gross_exposure,0.091,0.092,121122,0.000121122
gross_exposure,0.092,0.093,68549,6.8549e-05
gross_exposure,0.093,0.094,19961,1.9961e-05
gross_exposure,0.094,0.095,135002,0.000135002
gross_exposure,0.095,0.096,9423,9.423e-06
gross_exposure,0.096,0.097,34289,3.4289e-05
gross_exposure,0.097,0.098,94504,9.4504e-05
gross_exposure,0.098,0.099,41130,4.113e-05
gross_exposure,0.099,0.1,42162,4.2162e-05
gross_exposure,0.1,0.101,32054,3.2054e-05
gross_exposure,0.101,0.102,64696,6.4696e-05
gross_exposure,0.102,0.103,51405,5.1405e-05
gross_exposure,0.103,0.104,44890,4.489e-05
gross_exposure,0.104,0.105,38163,3.8163e-05
gross_exposure,0.105,0.106,21414,2.1414e-05
gross_exposure,0.106,0.107,69374,6.9374e-05
gross_exposure,0.107,0.108,19490,1.949e-05
gross_exposure,0.108,0.109,34261,3.4261e-05
gross_exposure,0.109,0.11,28536,2.8536e-05
gross_exposure,0.11,0.111,30775,3.0775e-05
gross_exposure,0.111,0.112,17152,1.7152e-05
gross_exposure,0.112,0.113,31833,3.1833e-05
gross_exposure,0.113,0.114,21485,2.1485e-05
gross_exposure,0.114,0.115,18496,1.8496e-05
gross_exposure,0.115,0.116,7967,7.967e-06
gross_exposure,0.116,0.117,49063,4.9063e-05
gross_exposure,0.117,0.118,21387,2.1387e-05
gross_exposure,0.118,0.119,6335,6.335e-06
gross_exposure,0.119,0.12,2555,2.555e-06
gross_exposure,0.12,0.121,64943,6.4943e-05
gross_exposure,0.121,0.122,4544,4.544e-06
gross_exposure,0.122,0.123,2400,2.4e-06
gross_exposure,0.123,0.124,10212,1.0212e-05
gross_exposure,0.124,0.125,15160,1.516e-05
gross_exposure,0.125,0.126,38202,3.8202e-05
gross_exposure,0.126,0.127,5896,5.896e-06
gross_exposure,0.127,0.128,9476,9.476e-06
gross_exposure,0.128,0.129,12210,1.221e-05
gross_exposure,0.129,0.13,17230,1.723e-05
gross_exposure,0.13,0.131,10504,1.0504e-05
gross_exposure,0.131,0.132,7244,7.244e-06
gross_exposure,0.132,0.133,11903,1.1903e-05
gross_exposure,0.133,0.134,6085,6.085e-06
gross_exposure,0.134,0.135,15011,1.5011e-05
