metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,817215764,0.817215764
gross_exposure,0.001,0.002,20997666,0.020997666
gross_exposure,0.002,0.003,18279976,0.018279976
gross_exposure,0.003,0.004,16107976,0.016107976
gross_exposure,0.004,0.005,14276136,0.014276136
gross_exposure,0.005,0.006,13270236,0.013270236
gross_exposure,0.006,0.007,11158631,0.011158631
gross_exposure,0.007,0.008,9607912,0.009607912
gross_exposure,0.008,0.009,8731174,0.008731174
gross_exposure,0.009,0.01,8087878,0.008087878
gross_exposure,0.01,0.011,6884595,0.006884595
gross_exposure,0.011,0.012,6152565,0.006152565
gross_exposure,0.012,0.013,5541157,0.005541157
gross_exposure,0.013,0.014,4754947,0.004754947
gross_exposure,0.014,0.015,4188895,0.004188895
gross_exposure,0.015,0.016,3968129,0.003968129
gross_exposure,0.016,0.017,3450083,0.003450083
gross_exposure,0.017,0.018,2964028,0.002964028
gross_exposure,0.018,0.019,2686394,0.002686394
gross_exposure,0.019,0.02,2504919,0.002504919
gross_exposure,0.02,0.021,2055136,0.002055136
gross_exposure,0.021,0.022,1802008,0.001802008
gross_exposure,0.022,0.023,1672121,0.001672121
gross_exposure,0.023,0.024,1485549,0.001485549
gross_exposure,0.024,0.025,1301081,0.001301081
gross_exposure,0.025,0.026,1147468,0.001147468
gross_exposure,0.026,0.027,1113553,0.001113553
gross_exposure,0.027,0.028,855029,0.000855029
gross_exposure,0.028,0.029,827186,0.000827186
gross_exposure,0.029,0.03,750809,0.000750809
gross_exposure,0.03,0.031,586259,0.000586259
gross_exposure,0.031,0.032,580384,0.000580384
gross_exposure,0.032,0.033,537726,0.000537726
gross_exposure,0.033,0.034,445402,0.000445402
gross_exposure,0.034,0.035,403232,0.000403232
gross_exposure,0.035,0.036,353327,0.000353327
gross_exposure,0.036,0.037,340034,0.000340034
gross_exposure,0.037,0.038,250398,0.000250398
gross_exposure,0.038,0.039,258228,0.000258228
gross_exposure,0.039,0.04,242467,0.000242467
gross_exposure,0.04,0.041,182832,0.000182832
gross_exposure,0.041,0.042,189225,0.000189225
gross_exposure,0.042,0.043,158407,0.000158407
gross_exposure,0.043,0.044,138268,0.000138268
gross_exposure,0.044,0.045,104647,0.000104647
gross_exposure,0.045,0.046,138850,0.00013885
gross_exposure,0.046,0.047,119280,0.00011928
gross_exposure,0.047,0.048,81436,8.1436e-05
gross_exposure,0.048,0.049,84783,8.4783e-05
gross_exposure,0.049,0.05,83464,8.3464e-05
gross_exposure,0.05,0.051,67713,6.7713e-05
gross_exposure,0.051,0.052,58693,5.8693e-05
gross_exposure,0.052,0.053,68741,6.8741e-05
gross_exposure,0.053,0.054,49057,4.9057e-05
gross_exposure,0.054,0.055,43614,4.3614e-05
gross_exposure,0.055,0.056,43983,4.3983e-05
gross_exposure,0.056,0.057,43537,4.3537e-05
gross_exposure,0.057,0.058,37369,3.7369e-05
gross_exposure,0.058,0.059,36180,3.618e-05
gross_exposure,0.059,0.06,32244,3.2244e-05
gross_exposure,0.06,0.061,28157,2.8157e-05
gross_exposure,0.061,0.062,21116,2.1116e-05
gross_exposure,0.062,0.063,25379,2.5379e-05
gross_exposure,0.063,0.064,22220,2.222e-05
gross_exposure,0.064,0.065,23123,2.3123e-05
gross_exposure,0.065,0.066,19072,1.9072e-05
gross_exposure,0.066,0.067,20569,2.0569e-05
gross_exposure,0.067,0.068,13934,1.3934e-05
gross_exposure,0.068,0.069,15292,1.5292e-05
gross_exposure,0.069,0.07,15630,1.563e-05
gross_exposure,0.07,0.071,12920,1.292e-05
gross_exposure,0.071,0.072,12329,1.2329e-05
gross_exposure,0.072,0.073,13400,1.34e-05
gross_exposure,0.073,0.074,10795,1.0795e-05
gross_exposure,0.074,0.075,8613,8.613e-06
gross_exposure,0.075,0.076,7207,7.207e-06
gross_exposure,0.076,0.077,8274,8.274e-06
gross_exposure,0.077,0.078,8464,8.464e-06
gross_exposure,0.078,0.079,8528,8.528e-06
gross_exposure,0.079,0.08,6817,6.817e-06
gross_exposure,0.08,0.081,5921,5.921e-06
gross_exposure,0.081,0.082,5613,5.613e-06
gross_exposure,0.082,0.083,5595,5.595e-06
gross_exposure,0.083,0.084,5529,5.529e-06
gross_exposure,0.084,0.085,4489,4.489e-06
gross_exposure,0.085,0.086,4922,4.922e-06
gross_exposure,0.086,0.087,4081,4.081e-06
gross_exposure,0.087,0.088,3835,3.835e-06
gross_exposure,0.088,0.089,3901,3.901e-06
gross_exposure,0.089,0.09,2495,2.495e-06
gross_exposure,0.09,0.091,2855,2.855e-06
gross_exposure,0.091,0.092,3365,3.365e-06
gross_exposure,0.092,0.093,3383,3.383e-06
gross_exposure,0.093,0.094,2783,2.783e-06
gross_exposure,0.094,0.095,2116,2.116e-06
gross_exposure,0.095,0.096,1849,1.849e-06
gross_exposure,0.096,0.097,2209,2.209e-06
gross_exposure,0.097,0.098,2170,2.17e-06
gross_exposure,0.098,0.099,1666,1.666e-06
gross_exposure,0.099,0.1,2139,2.139e-06
gross_exposure,0.1,0.101,1440,1.44e-06
gross_exposure,0.101,0.102,1298,1.298e-06
gross_exposure,0.102,0.103,1533,1.533e-06
gross_exposure,0.103,0.104,1183,1.183e-06
gross_exposure,0.104,0.105,1480,1.48e-06
gross_exposure,0.105,0.106,1151,1.151e-06
gross_exposure,0.106,0.107,1145,1.145e-06
gross_exposure,0.107,0.108,907,9.07e-07
gross_exposure,0.108,0.109,749,7.49e-07
gross_exposure,0.109,0.11,1101,1.101e-06
gross_exposure,0.11,0.111,878,8.78e-07
gross_exposure,0.111,0.112,607,6.07e-07
gross_exposure,0.112,0.113,878,8.78e-07
gross_exposure,0.113,0.114,675,6.75e-07
gross_exposure,0.114,0.115,713,7.13e-07
gross_exposure,0.115,0.116,775,7.75e-07
gross_exposure,0.116,0.117,404,4.04e-07
gross_exposure,0.117,0.118,722,7.22e-07
gross_exposure,0.118,0.119,584,5.84e-07
gross_exposure,0.119,0.12,484,4.84e-07
gross_exposure,0.12,0.121,443,4.43e-07
gross_exposure,0.121,0.122,495,4.95e-07
gross_exposure,0.122,0.123,262,2.62e-07
gross_exposure,0.123,0.124,424,4.24e-07
gross_exposure,0.124,0.125,391,3.91e-07
gross_exposure,0.125,0.126,349,3.49e-07
gross_exposure,0.126,0.127,328,3.28e-07
gross_exposure,0.127,0.128,313,3.13e-07
gross_exposure,0.128,0.129,376,3.76e-07
gross_exposure,0.129,0.13,280,2.8e-07
gross_exposure,0.13,0.131,258,2.58e-07
gross_exposure,0.131,0.132,249,2.49e-07
gross_exposure,0.132,0.133,265,2.65e-07
gross_exposure,0.133,0.134,254,2.54e-07
gross_exposure,0.134,0.135,148,1.48e-07
gross_exposure,0.135,0.136,229,2.29e-07
gross_exposure,0.136,0.137,227,2.27e-07
gross_exposure,0.137,0.138,100,1e-07
gross_exposure,0.138,0.139,235,2.35e-07
gross_exposure,0.139,0.14,179,1.79e-07
gross_exposure,0.14,0.141,149,1.49e-07
gross_exposure,0.141,0.142,145,1.45e-07
gross_exposure,0.142,0.143,127,1.27e-07
