metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,816603746,0.816603746
gross_exposure,0.001,0.002,21021496,0.021021496
gross_exposure,0.002,0.003,18307664,0.018307664
gross_exposure,0.003,0.004,16125548,0.016125548
gross_exposure,0.004,0.005,14276692,0.014276692
gross_exposure,0.005,0.006,13266525,0.013266525
gross_exposure,0.006,0.007,11177228,0.011177228
gross_exposure,0.007,0.008,9618276,0.009618276
gross_exposure,0.008,0.009,8732122,0.008732122
gross_exposure,0.009,0.01,8085834,0.008085834
gross_exposure,0.01,0.011,6877929,0.006877929
gross_exposure,0.011,0.012,6143211,0.006143211
gross_exposure,0.012,0.013,5497835,0.005497835
gross_exposure,0.013,0.014,4675369,0.004675369
gross_exposure,0.014,0.015,4105391,0.004105391
gross_exposure,0.015,0.016,3881434,0.003881434
gross_exposure,0.016,0.017,3375776,0.003375776
gross_exposure,0.017,0.018,2890018,0.002890018
gross_exposure,0.018,0.019,2598495,0.002598495
gross_exposure,0.019,0.02,2419370,0.00241937
gross_exposure,0.02,0.021,1992499,0.001992499
gross_exposure,0.021,0.022,1753542,0.001753542
gross_exposure,0.022,0.023,1632347,0.001632347
gross_exposure,0.023,0.024,1459151,0.001459151
gross_exposure,0.024,0.025,1286966,0.001286966
gross_exposure,0.025,0.026,1151448,0.001151448
gross_exposure,0.026,0.027,1126561,0.001126561
gross_exposure,0.027,0.028,869299,0.000869299
gross_exposure,0.028,0.029,848657,0.000848657
gross_exposure,0.029,0.03,772789,0.000772789
gross_exposure,0.03,0.031,616253,0.000616253
gross_exposure,0.031,0.032,613705,0.000613705
gross_exposure,0.032,0.033,570872,0.000570872
gross_exposure,0.033,0.034,474521,0.000474521
gross_exposure,0.034,0.035,433916,0.000433916
gross_exposure,0.035,0.036,395482,0.000395482
gross_exposure,0.036,0.037,382408,0.000382408
gross_exposure,0.037,0.038,302986,0.000302986
gross_exposure,0.038,0.039,302298,0.000302298
gross_exposure,0.039,0.04,289449,0.000289449
gross_exposure,0.04,0.041,214832,0.000214832
gross_exposure,0.041,0.042,226786,0.000226786
gross_exposure,0.042,0.043,190369,0.000190369
gross_exposure,0.043,0.044,168903,0.000168903
gross_exposure,0.044,0.045,127023,0.000127023
gross_exposure,0.045,0.046,175728,0.000175728
gross_exposure,0.046,0.047,149268,0.000149268
gross_exposure,0.047,0.048,104368,0.000104368
gross_exposure,0.048,0.049,107896,0.000107896
gross_exposure,0.049,0.05,108189,0.000108189
gross_exposure,0.05,0.051,90415,9.0415e-05
gross_exposure,0.051,0.052,77260,7.726e-05
gross_exposure,0.052,0.053,91871,9.1871e-05
gross_exposure,0.053,0.054,67174,6.7174e-05
gross_exposure,0.054,0.055,59800,5.98e-05
gross_exposure,0.055,0.056,61295,6.1295e-05
gross_exposure,0.056,0.057,62425,6.2425e-05
gross_exposure,0.057,0.058,53703,5.3703e-05
gross_exposure,0.058,0.059,53746,5.3746e-05
