metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,477469223,0.477469223
gross_exposure,0.003,0.004,97095074,0.097095074
gross_exposure,0.006,0.007,14087141,0.014087141
gross_exposure,0.008,0.009,93411960,0.09341196
gross_exposure,0.01,0.011,652088,0.000652088
gross_exposure,0.013,0.014,81401623,0.081401623
gross_exposure,0.016,0.017,12625492,0.012625492
gross_exposure,0.017,0.018,19845,1.9845e-05
gross_exposure,0.018,0.019,65416181,0.065416181
gross_exposure,0.02,0.021,3471,3.471e-06
gross_exposure,0.023,0.024,48483429,0.048483429
gross_exposure,0.025,0.026,565013,0.000565013
gross_exposure,0.026,0.027,10162012,0.010162012
gross_exposure,0.027,0.028,31,3.1e-08
gross_exposure,0.028,0.029,33162857,0.033162857
gross_exposure,0.033,0.034,21094837,0.021094837
gross_exposure,0.036,0.037,7496682,0.007496682
gross_exposure,0.038,0.039,12142137,0.012142137
gross_exposure,0.04,0.041,435982,0.000435982
gross_exposure,0.042,0.043,15832,1.5832e-05
gross_exposure,0.043,0.044,6423220,0.00642322
gross_exposure,0.046,0.047,5056022,0.005056022
gross_exposure,0.048,0.049,3089034,0.003089034
gross_exposure,0.05,0.051,2724,2.724e-06
gross_exposure,0.053,0.054,1438049,0.001438049
gross_exposure,0.055,0.056,308168,0.000308168
gross_exposure,0.056,0.057,3125906,0.003125906
gross_exposure,0.058,0.059,523937,0.000523937
gross_exposure,0.063,0.064,182302,0.000182302
gross_exposure,0.066,0.067,1774169,0.001774169
gross_exposure,0.067,0.068,11072,1.1072e-05
gross_exposure,0.068,0.069,56342,5.6342e-05
gross_exposure,0.07,0.071,199045,0.000199045
gross_exposure,0.073,0.074,80294,8.0294e-05
gross_exposure,0.076,0.077,921390,0.00092139
gross_exposure,0.078,0.079,3612,3.612e-06
gross_exposure,0.08,0.081,1786,1.786e-06
gross_exposure,0.083,0.084,696,6.96e-07
gross_exposure,0.085,0.086,116295,0.000116295
gross_exposure,0.086,0.087,434822,0.000434822
gross_exposure,0.088,0.089,126,1.26e-07
gross_exposure,0.092,0.093,7056,7.056e-06
gross_exposure,0.093,0.094,39546,3.9546e-05
gross_exposure,0.096,0.097,186494,0.000186494
gross_exposure,0.098,0.099,1,1e-09
gross_exposure,0.1,0.101,63132,6.3132e-05
gross_exposure,0.106,0.107,72138,7.2138e-05
