metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,624475724,0.624475724
gross_exposure,0.003,0.004,6820574,0.006820574
gross_exposure,0.004,0.005,14117377,0.014117377
gross_exposure,0.005,0.006,7472976,0.007472976
gross_exposure,0.006,0.007,5140785,0.005140785
gross_exposure,0.007,0.008,5505854,0.005505854
gross_exposure,0.008,0.009,5226628,0.005226628
gross_exposure,0.009,0.01,13925772,0.013925772
gross_exposure,0.01,0.011,5791371,0.005791371
gross_exposure,0.011,0.012,8231165,0.008231165
gross_exposure,0.012,0.013,7571573,0.007571573
gross_exposure,0.013,0.014,5188198,0.005188198
gross_exposure,0.014,0.015,3808271,0.003808271
gross_exposure,0.015,0.016,12991878,0.012991878
gross_exposure,0.016,0.017,7007069,0.007007069
gross_exposure,0.017,0.018,5909210,0.00590921
gross_exposure,0.018,0.019,3647159,0.003647159
gross_exposure,0.019,0.02,3600161,0.003600161
gross_exposure,0.02,0.021,6847141,0.006847141
gross_exposure,0.021,0.022,7711178,0.007711178
gross_exposure,0.022,0.023,4357660,0.00435766
gross_exposure,0.023,0.024,5882162,0.005882162
gross_exposure,0.024,0.025,5610657,0.005610657
gross_exposure,0.025,0.026,5070575,0.005070575
gross_exposure,0.026,0.027,4897647,0.004897647
gross_exposure,0.027,0.028,5936053,0.005936053
gross_exposure,0.028,0.029,5868209,0.005868209
gross_exposure,0.029,0.03,3269325,0.003269325
gross_exposure,0.03,0.031,7874825,0.007874825
gross_exposure,0.031,0.032,2884570,0.00288457
gross_exposure,0.032,0.033,3463967,0.003463967
gross_exposure,0.033,0.034,6654592,0.006654592
gross_exposure,0.034,0.035,3030409,0.003030409
gross_exposure,0.035,0.036,6149397,0.006149397
gross_exposure,0.036,0.037,3479190,0.00347919
gross_exposure,0.037,0.038,4472422,0.004472422
gross_exposure,0.038,0.039,2990454,0.002990454
gross_exposure,0.039,0.04,2810608,0.002810608
gross_exposure,0.04,0.041,3166176,0.003166176
gross_exposure,0.041,0.042,5589915,0.005589915
gross_exposure,0.042,0.043,2691392,0.002691392
gross_exposure,0.043,0.044,4094971,0.004094971
gross_exposure,0.044,0.045,4071274,0.004071274
gross_exposure,0.045,0.046,2742616,0.002742616
gross_exposure,0.046,0.047,1435394,0.001435394
gross_exposure,0.047,0.048,3576960,0.00357696
gross_exposure,0.048,0.049,2800879,0.002800879
gross_exposure,0.049,0.05,614856,0.000614856
gross_exposure,0.05,0.051,7031136,0.007031136
gross_exposure,0.051,0.052,1875019,0.001875019
gross_exposure,0.052,0.053,2578173,0.002578173
gross_exposure,0.053,0.054,2597234,0.002597234
gross_exposure,0.054,0.055,4409660,0.00440966
gross_exposure,0.055,0.056,719604,0.000719604
gross_exposure,0.056,0.057,3376604,0.003376604
gross_exposure,0.057,0.058,2551273,0.002551273
gross_exposure,0.058,0.059,1241498,0.001241498
gross_exposure,0.059,0.06,3175597,0.003175597
gross_exposure,0.06,0.061,2004541,0.002004541
gross_exposure,0.061,0.062,2356682,0.002356682
gross_exposure,0.062,0.063,16351,1.6351e-05
gross_exposure,0.063,0.064,5120132,0.005120132
gross_exposure,0.064,0.065,352408,0.000352408
gross_exposure,0.065,0.066,1811871,0.001811871
gross_exposure,0.066,0.067,2779808,0.002779808
gross_exposure,0.067,0.068,2598872,0.002598872
gross_exposure,0.068,0.069,862097,0.000862097
gross_exposure,0.069,0.07,1553285,0.001553285
gross_exposure,0.07,0.071,2056560,0.00205656
gross_exposure,0.071,0.072,1827778,0.001827778
gross_exposure,0.072,0.073,3138064,0.003138064
gross_exposure,0.073,0.074,673226,0.000673226
gross_exposure,0.074,0.075,2601165,0.002601165
gross_exposure,0.075,0.076,721978,0.000721978
gross_exposure,0.076,0.077,1567129,0.001567129
gross_exposure,0.077,0.078,1326318,0.001326318
gross_exposure,0.078,0.079,837268,0.000837268
gross_exposure,0.079,0.08,1719489,0.001719489
gross_exposure,0.08,0.081,1523768,0.001523768
gross_exposure,0.081,0.082,1771561,0.001771561
gross_exposure,0.082,0.083,579889,0.000579889
gross_exposure,0.083,0.084,559185,0.000559185
gross_exposure,0.084,0.085,14973,1.4973e-05
gross_exposure,0.085,0.086,4471650,0.00447165
gross_exposure,0.086,0.087,150199,0.000150199
gross_exposure,0.087,0.088,624346,0.000624346
gross_exposure,0.088,0.089,1629191,0.001629191
gross_exposure,0.089,0.09,862190,0.00086219
gross_exposure,0.09,0.091,1268618,0.001268618
gross_exposure,0.091,0.092,1740751,0.001740751
gross_exposure,0.092,0.093,1199106,0.001199106
gross_exposure,0.093,0.094,285830,0.00028583
gross_exposure,0.094,0.095,1341166,0.001341166
gross_exposure,0.095,0.096,1543341,0.001543341
gross_exposure,0.096,0.097,121814,0.000121814
gross_exposure,0.097,0.098,1008064,0.001008064
gross_exposure,0.098,0.099,321849,0.000321849
gross_exposure,0.099,0.1,920783,0.000920783
gross_exposure,0.1,0.101,1609562,0.001609562
gross_exposure,0.101,0.102,30045,3.0045e-05
gross_exposure,0.102,0.103,1736866,0.001736866
gross_exposure,0.103,0.104,188504,0.000188504
gross_exposure,0.104,0.105,845303,0.000845303
gross_exposure,0.105,0.106,1110281,0.001110281
gross_exposure,0.106,0.107,561560,0.00056156
gross_exposure,0.107,0.108,714941,0.000714941
gross_exposure,0.108,0.109,487437,0.000487437
gross_exposure,0.109,0.11,1621737,0.001621737
gross_exposure,0.11,0.111,79911,7.9911e-05
gross_exposure,0.111,0.112,467588,0.000467588
gross_exposure,0.112,0.113,1127870,0.00112787
gross_exposure,0.113,0.114,892478,0.000892478
gross_exposure,0.114,0.115,274448,0.000274448
gross_exposure,0.115,0.116,484643,0.000484643
gross_exposure,0.116,0.117,494448,0.000494448
gross_exposure,0.117,0.118,270862,0.000270862
gross_exposure,0.118,0.119,215814,0.000215814
gross_exposure,0.119,0.12,1003262,0.001003262
gross_exposure,0.12,0.121,713946,0.000713946
gross_exposure,0.121,0.122,531404,0.000531404
gross_exposure,0.122,0.123,685269,0.000685269
gross_exposure,0.123,0.124,357883,0.000357883
gross_exposure,0.124,0.125,57876,5.7876e-05
gross_exposure,0.125,0.126,24823,2.4823e-05
gross_exposure,0.126,0.127,459472,0.000459472
gross_exposure,0.127,0.128,1368,1.368e-06
gross_exposure,0.128,0.129,2561781,0.002561781
gross_exposure,0.129,0.13,10710,1.071e-05
gross_exposure,0.13,0.131,87439,8.7439e-05
gross_exposure,0.131,0.132,95680,9.568e-05
gross_exposure,0.132,0.133,178946,0.000178946
gross_exposure,0.133,0.134,291239,0.000291239
gross_exposure,0.134,0.135,449463,0.000449463
gross_exposure,0.135,0.136,476141,0.000476141
gross_exposure,0.136,0.137,506573,0.000506573
gross_exposure,0.137,0.138,552156,0.000552156
gross_exposure,0.138,0.139,172552,0.000172552
gross_exposure,0.139,0.14,130075,0.000130075
gross_exposure,0.14,0.141,262291,0.000262291
gross_exposure,0.141,0.142,333707,0.000333707
gross_exposure,0.142,0.143,463333,0.000463333
gross_exposure,0.143,0.144,51343,5.1343e-05
gross_exposure,0.144,0.145,426410,0.00042641
gross_exposure,0.145,0.146,408113,0.000408113
gross_exposure,0.146,0.147,685225,0.000685225
gross_exposure,0.147,0.148,42412,4.2412e-05
gross_exposure,0.148,0.149,327562,0.000327562
gross_exposure,0.149,0.15,135065,0.000135065
gross_exposure,0.15,0.151,120590,0.00012059
gross_exposure,0.151,0.152,354857,0.000354857
gross_exposure,0.152,0.153,279157,0.000279157
gross_exposure,0.153,0.154,1956,1.956e-06
gross_exposure,0.154,0.155,527376,0.000527376
gross_exposure,0.155,0.156,88148,8.8148e-05
gross_exposure,0.156,0.157,156412,0.000156412
gross_exposure,0.157,0.158,244211,0.000244211
gross_exposure,0.158,0.159,74712,7.4712e-05
gross_exposure,0.159,0.16,205876,0.000205876
gross_exposure,0.16,0.161,331125,0.000331125
gross_exposure,0.161,0.162,92481,9.2481e-05
gross_exposure,0.162,0.163,224043,0.000224043
gross_exposure,0.163,0.164,174636,0.000174636
gross_exposure,0.164,0.165,41826,4.1826e-05
gross_exposure,0.165,0.166,401625,0.000401625
gross_exposure,0.166,0.167,231376,0.000231376
gross_exposure,0.167,0.168,132683,0.000132683
gross_exposure,0.168,0.169,29139,2.9139e-05
gross_exposure,0.169,0.17,1165,1.165e-06
gross_exposure,0.17,0.171,355680,0.00035568
gross_exposure,0.171,0.172,496010,0.00049601
gross_exposure,0.172,0.173,5382,5.382e-06
gross_exposure,0.173,0.174,3192,3.192e-06
gross_exposure,0.174,0.175,13163,1.3163e-05
gross_exposure,0.175,0.176,92488,9.2488e-05
gross_exposure,0.176,0.177,147503,0.000147503
gross_exposure,0.177,0.178,248977,0.000248977
gross_exposure,0.178,0.179,71589,7.1589e-05
gross_exposure,0.179,0.18,34029,3.4029e-05
gross_exposure,0.18,0.181,141438,0.000141438
gross_exposure,0.181,0.182,168610,0.00016861
gross_exposure,0.182,0.183,135660,0.00013566
gross_exposure,0.183,0.184,7734,7.734e-06
gross_exposure,0.184,0.185,322090,0.00032209
gross_exposure,0.185,0.186,66023,6.6023e-05
gross_exposure,0.186,0.187,100076,0.000100076
gross_exposure,0.187,0.188,47718,4.7718e-05
gross_exposure,0.188,0.189,70035,7.0035e-05
gross_exposure,0.189,0.19,242010,0.00024201
gross_exposure,0.19,0.191,39464,3.9464e-05
gross_exposure,0.191,0.192,108844,0.000108844
gross_exposure,0.192,0.193,225,2.25e-07
gross_exposure,0.193,0.194,170688,0.000170688
gross_exposure,0.194,0.195,59425,5.9425e-05
gross_exposure,0.195,0.196,14431,1.4431e-05
gross_exposure,0.196,0.197,52278,5.2278e-05
gross_exposure,0.197,0.198,100157,0.000100157
gross_exposure,0.198,0.199,13756,1.3756e-05
gross_exposure,0.199,0.2,79463,7.9463e-05
gross_exposure,0.2,0.201,106729,0.000106729
gross_exposure,0.201,0.202,48756,4.8756e-05
gross_exposure,0.202,0.203,158827,0.000158827
gross_exposure,0.203,0.204,38488,3.8488e-05
gross_exposure,0.204,0.205,134185,0.000134185
gross_exposure,0.205,0.206,2178,2.178e-06
gross_exposure,0.206,0.207,127250,0.00012725
gross_exposure,0.207,0.208,6327,6.327e-06
gross_exposure,0.208,0.209,41695,4.1695e-05
gross_exposure,0.209,0.21,114982,0.000114982
gross_exposure,0.21,0.211,62273,6.2273e-05
gross_exposure,0.211,0.212,29962,2.9962e-05
gross_exposure,0.212,0.213,62111,6.2111e-05
gross_exposure,0.213,0.214,35278,3.5278e-05
gross_exposure,0.214,0.215,6113,6.113e-06
gross_exposure,0.215,0.216,81119,8.1119e-05
gross_exposure,0.216,0.217,15616,1.5616e-05
gross_exposure,0.217,0.218,23897,2.3897e-05
gross_exposure,0.218,0.219,12233,1.2233e-05
gross_exposure,0.219,0.22,117332,0.000117332
gross_exposure,0.22,0.221,32,3.2e-08
gross_exposure,0.221,0.222,108685,0.000108685
gross_exposure,0.222,0.223,42702,4.2702e-05
gross_exposure,0.223,0.224,65671,6.5671e-05
gross_exposure,0.224,0.225,56423,5.6423e-05
gross_exposure,0.225,0.226,65944,6.5944e-05
gross_exposure,0.226,0.227,4819,4.819e-06
gross_exposure,0.227,0.228,92320,9.232e-05
gross_exposure,0.228,0.229,1020,1.02e-06
gross_exposure,0.229,0.23,35011,3.5011e-05
gross_exposure,0.23,0.231,25694,2.5694e-05
gross_exposure,0.231,0.232,14672,1.4672e-05
gross_exposure,0.232,0.233,9605,9.605e-06
gross_exposure,0.233,0.234,32952,3.2952e-05
gross_exposure,0.234,0.235,3356,3.356e-06
gross_exposure,0.235,0.236,21309,2.1309e-05
gross_exposure,0.236,0.237,9962,9.962e-06
gross_exposure,0.237,0.238,2300,2.3e-06
gross_exposure,0.238,0.239,15332,1.5332e-05
gross_exposure,0.239,0.24,101971,0.000101971
gross_exposure,0.24,0.241,3388,3.388e-06
gross_exposure,0.241,0.242,82278,8.2278e-05
gross_exposure,0.242,0.243,30359,3.0359e-05
gross_exposure,0.243,0.244,62811,6.2811e-05
gross_exposure,0.244,0.245,26023,2.6023e-05
gross_exposure,0.245,0.246,24792,2.4792e-05
gross_exposure,0.246,0.247,13298,1.3298e-05
gross_exposure,0.247,0.248,14949,1.4949e-05
gross_exposure,0.248,0.249,4205,4.205e-06
gross_exposure,0.249,0.25,487,4.87e-07
gross_exposure,0.25,0.251,98,9.8e-08
gross_exposure,0.252,0.253,645,6.45e-07
gross_exposure,0.253,0.254,3568,3.568e-06
gross_exposure,0.255,0.256,14610,1.461e-05
gross_exposure,0.256,0.257,163956,0.000163956
gross_exposure,0.257,0.258,30,3e-08
gross_exposure,0.258,0.259,95557,9.5557e-05
gross_exposure,0.259,0.26,119,1.19e-07
gross_exposure,0.26,0.261,388,3.88e-07
gross_exposure,0.261,0.262,474,4.74e-07
gross_exposure,0.262,0.263,1137,1.137e-06
gross_exposure,0.263,0.264,1018,1.018e-06
gross_exposure,0.264,0.265,3370,3.37e-06
gross_exposure,0.265,0.266,5327,5.327e-06
gross_exposure,0.266,0.267,7358,7.358e-06
gross_exposure,0.267,0.268,6343,6.343e-06
gross_exposure,0.268,0.269,15116,1.5116e-05
gross_exposure,0.269,0.27,12569,1.2569e-05
gross_exposure,0.27,0.271,24800,2.48e-05
gross_exposure,0.271,0.272,1444,1.444e-06
gross_exposure,0.272,0.273,30568,3.0568e-05
gross_exposure,0.273,0.274,11311,1.1311e-05
gross_exposure,0.274,0.275,37945,3.7945e-05
gross_exposure,0.275,0.276,16528,1.6528e-05
gross_exposure,0.276,0.277,23217,2.3217e-05
gross_exposure,0.277,0.278,929,9.29e-07
gross_exposure,0.278,0.279,9164,9.164e-06
gross_exposure,0.279,0.28,218,2.18e-07
gross_exposure,0.28,0.281,12183,1.2183e-05
gross_exposure,0.281,0.282,1373,1.373e-06
gross_exposure,0.282,0.283,14687,1.4687e-05
gross_exposure,0.283,0.284,1866,1.866e-06
gross_exposure,0.284,0.285,2133,2.133e-06
gross_exposure,0.285,0.286,23940,2.394e-05
gross_exposure,0.286,0.287,360,3.6e-07
gross_exposure,0.287,0.288,5720,5.72e-06
gross_exposure,0.288,0.289,5850,5.85e-06
gross_exposure,0.289,0.29,21465,2.1465e-05
gross_exposure,0.29,0.291,14178,1.4178e-05
gross_exposure,0.291,0.292,1453,1.453e-06
gross_exposure,0.292,0.293,1624,1.624e-06
gross_exposure,0.293,0.294,45446,4.5446e-05
gross_exposure,0.294,0.295,109,1.09e-07
gross_exposure,0.295,0.296,10581,1.0581e-05
gross_exposure,0.296,0.297,3150,3.15e-06
gross_exposure,0.297,0.298,12854,1.2854e-05
gross_exposure,0.298,0.299,2865,2.865e-06
gross_exposure,0.299,0.3,1230,1.23e-06
gross_exposure,0.3,0.301,5698,5.698e-06
gross_exposure,0.301,0.302,2645,2.645e-06
gross_exposure,0.302,0.303,18434,1.8434e-05
gross_exposure,0.303,0.304,94,9.4e-08
gross_exposure,0.304,0.305,10122,1.0122e-05
gross_exposure,0.305,0.306,1302,1.302e-06
gross_exposure,0.306,0.307,5,5e-09
gross_exposure,0.307,0.308,7652,7.652e-06
gross_exposure,0.308,0.309,27452,2.7452e-05
gross_exposure,0.309,0.31,31,3.1e-08
gross_exposure,0.31,0.311,3986,3.986e-06
gross_exposure,0.311,0.312,240,2.4e-07
gross_exposure,0.312,0.313,2137,2.137e-06
gross_exposure,0.313,0.314,5095,5.095e-06
gross_exposure,0.314,0.315,18768,1.8768e-05
gross_exposure,0.315,0.316,222,2.22e-07
gross_exposure,0.316,0.317,4226,4.226e-06
gross_exposure,0.317,0.318,1033,1.033e-06
gross_exposure,0.318,0.319,5973,5.973e-06
gross_exposure,0.319,0.32,878,8.78e-07
gross_exposure,0.32,0.321,1313,1.313e-06
gross_exposure,0.321,0.322,15953,1.5953e-05
gross_exposure,0.322,0.323,854,8.54e-07
gross_exposure,0.323,0.324,2824,2.824e-06
gross_exposure,0.324,0.325,1492,1.492e-06
gross_exposure,0.325,0.326,7876,7.876e-06
gross_exposure,0.326,0.327,817,8.17e-07
gross_exposure,0.327,0.328,6291,6.291e-06
gross_exposure,0.329,0.33,5383,5.383e-06
gross_exposure,0.33,0.331,291,2.91e-07
gross_exposure,0.331,0.332,18347,1.8347e-05
gross_exposure,0.332,0.333,2256,2.256e-06
gross_exposure,0.333,0.334,11561,1.1561e-05
gross_exposure,0.334,0.335,5744,5.744e-06
gross_exposure,0.335,0.336,2740,2.74e-06
gross_exposure,0.336,0.337,2688,2.688e-06
gross_exposure,0.337,0.338,209,2.09e-07
gross_exposure,0.338,0.339,791,7.91e-07
gross_exposure,0.339,0.34,506,5.06e-07
gross_exposure,0.34,0.341,2559,2.559e-06
gross_exposure,0.341,0.342,2247,2.247e-06
gross_exposure,0.342,0.343,52,5.2e-08
gross_exposure,0.343,0.344,24628,2.4628e-05
gross_exposure,0.344,0.345,386,3.86e-07
gross_exposure,0.345,0.346,682,6.82e-07
gross_exposure,0.346,0.347,1149,1.149e-06
gross_exposure,0.347,0.348,103,1.03e-07
gross_exposure,0.348,0.349,8,8e-09
gross_exposure,0.349,0.35,1451,1.451e-06
gross_exposure,0.35,0.351,815,8.15e-07
gross_exposure,0.351,0.352,3703,3.703e-06
gross_exposure,0.352,0.353,5269,5.269e-06
gross_exposure,0.353,0.354,310,3.1e-07
gross_exposure,0.354,0.355,8994,8.994e-06
gross_exposure,0.355,0.356,971,9.71e-07
