metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,622930774,0.623094100048599
gross_exposure,0.003,0.004,6774810,0.00677658628557376
gross_exposure,0.004,0.005,13946346,0.0139500025886285
gross_exposure,0.005,0.006,7402591,0.00740453188330178
gross_exposure,0.006,0.007,5115782,0.00511712330547795
gross_exposure,0.007,0.008,5473835,0.00547527018329572
gross_exposure,0.008,0.009,5286876,0.00528826216456684
gross_exposure,0.009,0.01,13800406,0.01380402432466
gross_exposure,0.01,0.011,5874702,0.00587624228650438
gross_exposure,0.011,0.012,8119636,0.00812176488513346
gross_exposure,0.012,0.013,7515859,0.0075178295810076
gross_exposure,0.013,0.014,5084975,0.00508630822819908
gross_exposure,0.014,0.015,3860765,0.00386177725291531
gross_exposure,0.015,0.016,12676952,0.0126802757665642
gross_exposure,0.016,0.017,6908537,0.00691034834741917
gross_exposure,0.017,0.018,5805117,0.00580663904203234
gross_exposure,0.018,0.019,3714696,0.00371566995512431
gross_exposure,0.019,0.02,3714880,0.00371585400336722
gross_exposure,0.02,0.021,6709439,0.00671119814596922
gross_exposure,0.021,0.022,7491588,0.00749355221740078
gross_exposure,0.022,0.023,4463957,0.00446512740366017
gross_exposure,0.023,0.024,5881494,0.005883036067297
gross_exposure,0.024,0.025,5506286,0.0055077296916145
gross_exposure,0.025,0.026,4935369,0.00493666300304302
gross_exposure,0.026,0.027,4861743,0.0048630176990623
gross_exposure,0.027,0.028,5855259,0.00585679418874955
gross_exposure,0.028,0.029,5697690,0.0056991838757767
gross_exposure,0.029,0.03,3299588,0.00330045311807176
gross_exposure,0.03,0.031,7898957,0.00790102802536704
gross_exposure,0.031,0.032,2961724,0.00296250053360237
gross_exposure,0.032,0.033,3351950,0.00335282884685017
gross_exposure,0.033,0.034,6592764,0.006594492554983
gross_exposure,0.034,0.035,2988855,0.00298963864707181
gross_exposure,0.035,0.036,6016541,0.00601811847523285
gross_exposure,0.036,0.037,3386661,0.00338754894771772
gross_exposure,0.037,0.038,4262233,0.0042633505137
gross_exposure,0.038,0.039,2927045,0.00292781244112488
gross_exposure,0.039,0.04,2696334,0.00269704095107114
gross_exposure,0.04,0.041,3185467,0.00318630219671811
gross_exposure,0.041,0.042,5406598,0.00540801555444515
gross_exposure,0.042,0.043,2732728,0.002733444493204
gross_exposure,0.043,0.044,3835811,0.0038368167102329
gross_exposure,0.044,0.045,3859205,0.00386021684389934
gross_exposure,0.045,0.046,2581118,0.00258179474261973
gross_exposure,0.046,0.047,1444130,0.00144450863604819
gross_exposure,0.047,0.048,3642555,0.00364351004049532
gross_exposure,0.048,0.049,2911777,0.00291254043801215
gross_exposure,0.049,0.05,603667,0.000603825275284983
gross_exposure,0.05,0.051,6805570,0.00680735435052972
gross_exposure,0.051,0.052,1775036,0.00177550139620147
gross_exposure,0.052,0.053,2419009,0.00241964323930553
gross_exposure,0.053,0.054,2515434,0.00251609352094981
gross_exposure,0.054,0.055,4258985,0.00426010166210777
gross_exposure,0.055,0.056,714861,0.000715048429209313
gross_exposure,0.056,0.057,3281683,0.00328254342356473
gross_exposure,0.057,0.058,2515139,0.00251579844360384
gross_exposure,0.058,0.059,1214486,0.00121480442575088
gross_exposure,0.059,0.06,3037794,0.00303859047837478
gross_exposure,0.06,0.061,1995194,0.00199571711936705
gross_exposure,0.061,0.062,2372788,0.00237341012063423
gross_exposure,0.062,0.063,17965,1.79697102384174e-05
gross_exposure,0.063,0.064,4920801,0.0049220911834631
gross_exposure,0.064,0.065,456309,0.000456428639531423
gross_exposure,0.065,0.066,1741582,0.0017420386249064
gross_exposure,0.066,0.067,2721562,0.00272227556559353
gross_exposure,0.067,0.068,2576294,0.00257696947781649
gross_exposure,0.068,0.069,885938,0.000886170283840971
gross_exposure,0.069,0.07,1509510,0.00150990577801244
gross_exposure,0.07,0.071,1901009,0.00190150742502776
gross_exposure,0.071,0.072,1978382,0.00197890071143338
gross_exposure,0.072,0.073,3010087,0.00301087621388406
gross_exposure,0.073,0.074,742101,0.000742295571257434
gross_exposure,0.074,0.075,2537280,0.00253794524874655
gross_exposure,0.075,0.076,760693,0.000760892445888809
gross_exposure,0.076,0.077,1628453,0.00162887996364495
gross_exposure,0.077,0.078,1259833,0.00126016331526836
gross_exposure,0.078,0.079,914322,0.000914561725834137
gross_exposure,0.079,0.08,1634867,0.00163529564532985
gross_exposure,0.08,0.081,1575618,0.00157603111085081
gross_exposure,0.081,0.082,1690190,0.00169063315045203
gross_exposure,0.082,0.083,556673,0.000556818953941026
gross_exposure,0.083,0.084,791478,0.000791685517399506
gross_exposure,0.084,0.085,17043,1.70474684994906e-05
gross_exposure,0.085,0.086,4336909,0.00433804609297994
gross_exposure,0.086,0.087,207699,0.000207753456543783
gross_exposure,0.087,0.088,734332,0.000734524534305457
gross_exposure,0.088,0.089,1619829,0.00162025370252076
gross_exposure,0.089,0.09,907859,0.000908097031301942
gross_exposure,0.09,0.091,1216507,0.00121682595563632
gross_exposure,0.091,0.092,1727718,0.00172817098990805
gross_exposure,0.092,0.093,1143733,0.00114403287504124
gross_exposure,0.093,0.094,326174,0.000326259519471503
gross_exposure,0.094,0.095,1336296,0.00133664636308134
gross_exposure,0.095,0.096,1544108,0.00154451284925256
gross_exposure,0.096,0.097,182565,0.000182612866667224
gross_exposure,0.097,0.098,1050458,0.0010507334192946
gross_exposure,0.098,0.099,343355,0.000343445024153176
gross_exposure,0.099,0.1,857511,0.000857735830573646
gross_exposure,0.1,0.101,1846253,0.00184673706856715
gross_exposure,0.101,0.102,30796,3.08040743947844e-05
gross_exposure,0.102,0.103,1706120,0.00170656732713436
gross_exposure,0.103,0.104,257024,0.00025709138905199
gross_exposure,0.104,0.105,826814,0.000827030782135644
gross_exposure,0.105,0.106,1099554,0.00109984229176136
gross_exposure,0.106,0.107,634910,0.000635076466878575
gross_exposure,0.107,0.108,706836,0.000707021325136766
gross_exposure,0.108,0.109,591249,0.000591404019412973
gross_exposure,0.109,0.11,1618951,0.00161937547231818
gross_exposure,0.11,0.111,112638,0.000112667532526293
gross_exposure,0.111,0.112,436026,0.000436140321537222
gross_exposure,0.112,0.113,1206382,0.00120669830096535
gross_exposure,0.113,0.114,854616,0.000854840071534391
gross_exposure,0.114,0.115,352482,0.0003525744171588
gross_exposure,0.115,0.116,519052,0.000519188090101365
gross_exposure,0.116,0.117,513983,0.000514117761061647
gross_exposure,0.117,0.118,268596,0.000268666423111492
gross_exposure,0.118,0.119,251598,0.000251663966410539
gross_exposure,0.119,0.12,1061668,0.00106194635844142
gross_exposure,0.12,0.121,716594,0.000716781883584107
gross_exposure,0.121,0.122,569228,0.000569377245733029
gross_exposure,0.122,0.123,700403,0.000700586638470262
gross_exposure,0.123,0.124,361050,0.000361144663600368
gross_exposure,0.124,0.125,54444,5.44582746574115e-05
gross_exposure,0.125,0.126,48502,4.85147167260629e-05
gross_exposure,0.126,0.127,685241,0.000685420663149646
gross_exposure,0.127,0.128,1880,1.88049291668381e-06
gross_exposure,0.128,0.129,2427303,0.00242793941390711
gross_exposure,0.129,0.13,18855,1.8859943587273e-05
gross_exposure,0.13,0.131,130842,0.000130876305428055
gross_exposure,0.131,0.132,142545,0.000142582373834412
gross_exposure,0.132,0.133,223166,0.000223224511832266
gross_exposure,0.133,0.134,360145,0.000360239426318666
gross_exposure,0.134,0.135,447788,0.000447905405412772
gross_exposure,0.135,0.136,558910,0.000559056540459442
gross_exposure,0.136,0.137,492096,0.000492225022515127
gross_exposure,0.137,0.138,550699,0.000550843387619606
gross_exposure,0.138,0.139,218700,0.000218757340892952
gross_exposure,0.139,0.14,142527,0.000142564369114997
gross_exposure,0.14,0.141,270470,0.000270540914455038
gross_exposure,0.141,0.142,402211,0.000402316455591656
gross_exposure,0.142,0.143,472594,0.000472717909291101
gross_exposure,0.143,0.144,76128,7.61479599794178e-05
gross_exposure,0.144,0.145,397927,0.000398031332370872
