metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,866909644,0.866909644
gross_exposure,0.001,0.002,7187183,0.007187183
gross_exposure,0.002,0.003,7456712,0.007456712
gross_exposure,0.003,0.004,6609705,0.006609705
gross_exposure,0.004,0.005,6414308,0.006414308
gross_exposure,0.005,0.006,6121537,0.006121537
gross_exposure,0.006,0.007,5554424,0.005554424
gross_exposure,0.007,0.008,4922660,0.00492266
gross_exposure,0.008,0.009,4935643,0.004935643
gross_exposure,0.009,0.01,4816386,0.004816386
gross_exposure,0.01,0.011,4501785,0.004501785
gross_exposure,0.011,0.012,3909016,0.003909016
gross_exposure,0.012,0.013,3909388,0.003909388
gross_exposure,0.013,0.014,3234034,0.003234034
gross_exposure,0.014,0.015,3813622,0.003813622
gross_exposure,0.015,0.016,3522338,0.003522338
gross_exposure,0.016,0.017,3147435,0.003147435
gross_exposure,0.017,0.018,2932576,0.002932576
gross_exposure,0.018,0.019,2848453,0.002848453
gross_exposure,0.019,0.02,2517210,0.00251721
gross_exposure,0.02,0.021,2593522,0.002593522
gross_exposure,0.021,0.022,2103941,0.002103941
gross_exposure,0.022,0.023,2318882,0.002318882
gross_exposure,0.023,0.024,2149672,0.002149672
gross_exposure,0.024,0.025,1065269,0.001065269
gross_exposure,0.025,0.026,2507968,0.002507968
gross_exposure,0.026,0.027,1913711,0.001913711
gross_exposure,0.027,0.028,1528671,0.001528671
gross_exposure,0.028,0.029,1782055,0.001782055
gross_exposure,0.029,0.03,1486185,0.001486185
gross_exposure,0.03,0.031,1267624,0.001267624
gross_exposure,0.031,0.032,1196414,0.001196414
gross_exposure,0.032,0.033,1368949,0.001368949
gross_exposure,0.033,0.034,1129291,0.001129291
gross_exposure,0.034,0.035,1099556,0.001099556
gross_exposure,0.035,0.036,1080400,0.0010804
gross_exposure,0.036,0.037,941743,0.000941743
gross_exposure,0.037,0.038,915056,0.000915056
gross_exposure,0.038,0.039,805658,0.000805658
gross_exposure,0.039,0.04,1013366,0.001013366
gross_exposure,0.04,0.041,714274,0.000714274
gross_exposure,0.041,0.042,592309,0.000592309
gross_exposure,0.042,0.043,840848,0.000840848
gross_exposure,0.043,0.044,474951,0.000474951
gross_exposure,0.044,0.045,861918,0.000861918
gross_exposure,0.045,0.046,386673,0.000386673
gross_exposure,0.046,0.047,841994,0.000841994
gross_exposure,0.047,0.048,192428,0.000192428
gross_exposure,0.048,0.049,652577,0.000652577
gross_exposure,0.049,0.05,283205,0.000283205
gross_exposure,0.05,0.051,542243,0.000542243
gross_exposure,0.051,0.052,422592,0.000422592
gross_exposure,0.052,0.053,398941,0.000398941
gross_exposure,0.053,0.054,426812,0.000426812
gross_exposure,0.054,0.055,261428,0.000261428
gross_exposure,0.055,0.056,410774,0.000410774
gross_exposure,0.056,0.057,243636,0.000243636
gross_exposure,0.057,0.058,292287,0.000292287
gross_exposure,0.058,0.059,313232,0.000313232
gross_exposure,0.059,0.06,246567,0.000246567
gross_exposure,0.06,0.061,255207,0.000255207
gross_exposure,0.061,0.062,178812,0.000178812
gross_exposure,0.062,0.063,248062,0.000248062
gross_exposure,0.063,0.064,165954,0.000165954
gross_exposure,0.064,0.065,194863,0.000194863
gross_exposure,0.065,0.066,213098,0.000213098
