metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,799954882,0.799954882
gross_exposure,0.001,0.002,14917878,0.014917878
gross_exposure,0.002,0.003,4114313,0.004114313
gross_exposure,0.003,0.004,13714154,0.013714154
gross_exposure,0.004,0.005,4437176,0.004437176
gross_exposure,0.005,0.006,3376139,0.003376139
gross_exposure,0.006,0.007,8360318,0.008360318
gross_exposure,0.007,0.008,7134787,0.007134787
gross_exposure,0.008,0.009,4606840,0.00460684
gross_exposure,0.009,0.01,4919802,0.004919802
gross_exposure,0.01,0.011,6833166,0.006833166
gross_exposure,0.011,0.012,6227844,0.006227844
gross_exposure,0.012,0.013,2596639,0.002596639
gross_exposure,0.013,0.014,5394242,0.005394242
gross_exposure,0.014,0.015,4146592,0.004146592
gross_exposure,0.015,0.016,6389400,0.0063894
gross_exposure,0.016,0.017,6287141,0.006287141
gross_exposure,0.017,0.018,949138,0.000949138
gross_exposure,0.018,0.019,3177487,0.003177487
gross_exposure,0.019,0.02,5877694,0.005877694
gross_exposure,0.02,0.021,3042319,0.003042319
gross_exposure,0.021,0.022,5862571,0.005862571
gross_exposure,0.022,0.023,2434181,0.002434181
gross_exposure,0.023,0.024,3128412,0.003128412
gross_exposure,0.024,0.025,1576010,0.00157601
gross_exposure,0.025,0.026,2584002,0.002584002
gross_exposure,0.026,0.027,2575964,0.002575964
gross_exposure,0.027,0.028,4182699,0.004182699
gross_exposure,0.028,0.029,624347,0.000624347
gross_exposure,0.029,0.03,2839538,0.002839538
gross_exposure,0.03,0.031,3488387,0.003488387
gross_exposure,0.031,0.032,2123553,0.002123553
gross_exposure,0.032,0.033,744467,0.000744467
gross_exposure,0.033,0.034,3522264,0.003522264
gross_exposure,0.034,0.035,722298,0.000722298
gross_exposure,0.035,0.036,194562,0.000194562
gross_exposure,0.036,0.037,4417643,0.004417643
gross_exposure,0.037,0.038,414167,0.000414167
gross_exposure,0.038,0.039,2112051,0.002112051
gross_exposure,0.039,0.04,1873170,0.00187317
gross_exposure,0.04,0.041,3487974,0.003487974
gross_exposure,0.041,0.042,220018,0.000220018
gross_exposure,0.042,0.043,1668102,0.001668102
gross_exposure,0.043,0.044,1783727,0.001783727
gross_exposure,0.044,0.045,295451,0.000295451
gross_exposure,0.045,0.046,1674537,0.001674537
gross_exposure,0.046,0.047,1310676,0.001310676
gross_exposure,0.047,0.048,533125,0.000533125
gross_exposure,0.048,0.049,197222,0.000197222
gross_exposure,0.049,0.05,2485935,0.002485935
gross_exposure,0.05,0.051,116886,0.000116886
gross_exposure,0.051,0.052,619241,0.000619241
gross_exposure,0.052,0.053,1566087,0.001566087
gross_exposure,0.053,0.054,1148131,0.001148131
gross_exposure,0.054,0.055,166627,0.000166627
gross_exposure,0.055,0.056,1098509,0.001098509
gross_exposure,0.056,0.057,951046,0.000951046
gross_exposure,0.057,0.058,258274,0.000258274
gross_exposure,0.058,0.059,1833179,0.001833179
gross_exposure,0.059,0.06,228764,0.000228764
gross_exposure,0.06,0.061,1287303,0.001287303
gross_exposure,0.061,0.062,237993,0.000237993
gross_exposure,0.062,0.063,389845,0.000389845
gross_exposure,0.063,0.064,494469,0.000494469
gross_exposure,0.064,0.065,171485,0.000171485
gross_exposure,0.065,0.066,712313,0.000712313
gross_exposure,0.066,0.067,648215,0.000648215
gross_exposure,0.067,0.068,449250,0.00044925
gross_exposure,0.068,0.069,175679,0.000175679
gross_exposure,0.069,0.07,27624,2.7624e-05
gross_exposure,0.07,0.071,27447,2.7447e-05
gross_exposure,0.071,0.072,1389222,0.001389222
gross_exposure,0.072,0.073,528996,0.000528996
gross_exposure,0.073,0.074,35612,3.5612e-05
gross_exposure,0.074,0.075,182607,0.000182607
gross_exposure,0.075,0.076,214093,0.000214093
gross_exposure,0.076,0.077,517146,0.000517146
gross_exposure,0.077,0.078,783518,0.000783518
