metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,602078855,0.602078855
gross_exposure,0.001,0.002,65622757,0.065622757
gross_exposure,0.003,0.004,8769896,0.008769896
gross_exposure,0.005,0.006,462765,0.000462765
gross_exposure,0.006,0.007,59134363,0.059134363
gross_exposure,0.008,0.009,23598,2.3598e-05
gross_exposure,0.01,0.011,5641,5.641e-06
gross_exposure,0.011,0.012,51252370,0.05125237
gross_exposure,0.013,0.014,7901136,0.007901136
gross_exposure,0.016,0.017,43553956,0.043553956
gross_exposure,0.02,0.021,400939,0.000400939
gross_exposure,0.021,0.022,35499372,0.035499372
gross_exposure,0.023,0.024,6893842,0.006893842
gross_exposure,0.026,0.027,27489304,0.027489304
gross_exposure,0.031,0.032,20674437,0.020674437
gross_exposure,0.033,0.034,6031279,0.006031279
gross_exposure,0.035,0.036,338326,0.000338326
gross_exposure,0.036,0.037,14884234,0.014884234
gross_exposure,0.04,0.041,4813,4.813e-06
gross_exposure,0.041,0.042,10252456,0.010252456
gross_exposure,0.043,0.044,4905476,0.004905476
gross_exposure,0.046,0.047,6964701,0.006964701
gross_exposure,0.05,0.051,280091,0.000280091
gross_exposure,0.051,0.052,4337632,0.004337632
gross_exposure,0.053,0.054,4251952,0.004251952
gross_exposure,0.056,0.057,2635576,0.002635576
gross_exposure,0.058,0.059,16537,1.6537e-05
gross_exposure,0.061,0.062,1538299,0.001538299
gross_exposure,0.063,0.064,3212905,0.003212905
gross_exposure,0.065,0.066,219145,0.000219145
gross_exposure,0.066,0.067,911668,0.000911668
gross_exposure,0.07,0.071,3702,3.702e-06
gross_exposure,0.071,0.072,446466,0.000446466
gross_exposure,0.073,0.074,2405282,0.002405282
gross_exposure,0.076,0.077,227691,0.000227691
gross_exposure,0.08,0.081,199711,0.000199711
gross_exposure,0.081,0.082,114546,0.000114546
gross_exposure,0.083,0.084,1700495,0.001700495
gross_exposure,0.086,0.087,111762,0.000111762
gross_exposure,0.091,0.092,21976,2.1976e-05
gross_exposure,0.093,0.094,1051180,0.00105118
gross_exposure,0.095,0.096,225436,0.000225436
gross_exposure,0.096,0.097,8576,8.576e-06
gross_exposure,0.1,0.101,3060,3.06e-06
gross_exposure,0.101,0.102,3297,3.297e-06
gross_exposure,0.103,0.104,678620,0.00067862
gross_exposure,0.106,0.107,53242,5.3242e-05
gross_exposure,0.108,0.109,10190,1.019e-05
gross_exposure,0.11,0.111,199478,0.000199478
gross_exposure,0.111,0.112,389,3.89e-07
gross_exposure,0.113,0.114,391038,0.000391038
gross_exposure,0.116,0.117,577,5.77e-07
gross_exposure,0.121,0.122,37,3.7e-08
gross_exposure,0.123,0.124,218154,0.000218154
gross_exposure,0.125,0.126,160974,0.000160974
gross_exposure,0.126,0.127,73072,7.3072e-05
gross_exposure,0.13,0.131,2372,2.372e-06
gross_exposure,0.131,0.132,1,1e-09
gross_exposure,0.133,0.134,138295,0.000138295
gross_exposure,0.136,0.137,1,1e-09
gross_exposure,0.14,0.141,114965,0.000114965
gross_exposure,0.143,0.144,58932,5.8932e-05
gross_exposure,0.146,0.147,108586,0.000108586
gross_exposure,0.151,0.152,323,3.23e-07
gross_exposure,0.153,0.154,27193,2.7193e-05
gross_exposure,0.155,0.156,70635,7.0635e-05
gross_exposure,0.158,0.159,5545,5.545e-06
gross_exposure,0.16,0.161,1772,1.772e-06
gross_exposure,0.163,0.164,9519,9.519e-06
gross_exposure,0.166,0.167,122029,0.000122029
gross_exposure,0.17,0.171,45118,4.5118e-05
gross_exposure,0.173,0.174,3594,3.594e-06
gross_exposure,0.183,0.184,4980,4.98e-06
gross_exposure,0.185,0.186,20045,2.0045e-05
gross_exposure,0.186,0.187,115297,0.000115297
gross_exposure,0.19,0.191,1231,1.231e-06
gross_exposure,0.193,0.194,619,6.19e-07
gross_exposure,0.2,0.201,12216,1.2216e-05
gross_exposure,0.203,0.204,237,2.37e-07
gross_exposure,0.206,0.207,87582,8.7582e-05
gross_exposure,0.208,0.209,2743,2.743e-06
gross_exposure,0.213,0.214,270,2.7e-07
gross_exposure,0.215,0.216,5864,5.864e-06
gross_exposure,0.22,0.221,810,8.1e-07
gross_exposure,0.221,0.222,159,1.59e-07
gross_exposure,0.223,0.224,43,4.3e-08
gross_exposure,0.226,0.227,56523,5.6523e-05
gross_exposure,0.23,0.231,2913,2.913e-06
gross_exposure,0.233,0.234,5771,5.771e-06
gross_exposure,0.243,0.244,12,1.2e-08
gross_exposure,0.245,0.246,328,3.28e-07
gross_exposure,0.246,0.247,36608,3.6608e-05
gross_exposure,0.25,0.251,521,5.21e-07
gross_exposure,0.253,0.254,17,1.7e-08
gross_exposure,0.256,0.257,105,1.05e-07
gross_exposure,0.258,0.259,11363,1.1363e-05
gross_exposure,0.26,0.261,130,1.3e-07
gross_exposure,0.266,0.267,22312,2.2312e-05
gross_exposure,0.275,0.276,78,7.8e-08
