metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,779823218,0.779823218
gross_exposure,0.001,0.002,7095945,0.007095945
gross_exposure,0.002,0.003,7316075,0.007316075
gross_exposure,0.003,0.004,7164311,0.007164311
gross_exposure,0.004,0.005,6717775,0.006717775
gross_exposure,0.005,0.006,6656940,0.00665694
gross_exposure,0.006,0.007,6069117,0.006069117
gross_exposure,0.007,0.008,6308657,0.006308657
gross_exposure,0.008,0.009,5971640,0.00597164
gross_exposure,0.009,0.01,6349655,0.006349655
gross_exposure,0.01,0.011,5623815,0.005623815
gross_exposure,0.011,0.012,5115819,0.005115819
gross_exposure,0.012,0.013,4898601,0.004898601
gross_exposure,0.013,0.014,4455027,0.004455027
gross_exposure,0.014,0.015,4958463,0.004958463
gross_exposure,0.015,0.016,4865793,0.004865793
gross_exposure,0.016,0.017,4487371,0.004487371
gross_exposure,0.017,0.018,4687429,0.004687429
gross_exposure,0.018,0.019,4789708,0.004789708
gross_exposure,0.019,0.02,3370241,0.003370241
gross_exposure,0.02,0.021,3826544,0.003826544
gross_exposure,0.021,0.022,3622814,0.003622814
gross_exposure,0.022,0.023,3600544,0.003600544
gross_exposure,0.023,0.024,3403865,0.003403865
gross_exposure,0.024,0.025,2101958,0.002101958
gross_exposure,0.025,0.026,4265567,0.004265567
gross_exposure,0.026,0.027,3412049,0.003412049
gross_exposure,0.027,0.028,2918096,0.002918096
gross_exposure,0.028,0.029,3506538,0.003506538
gross_exposure,0.029,0.03,2486859,0.002486859
gross_exposure,0.03,0.031,2880609,0.002880609
gross_exposure,0.031,0.032,2075599,0.002075599
gross_exposure,0.032,0.033,2939858,0.002939858
gross_exposure,0.033,0.034,2771726,0.002771726
gross_exposure,0.034,0.035,1564463,0.001564463
gross_exposure,0.035,0.036,2561138,0.002561138
gross_exposure,0.036,0.037,2091394,0.002091394
gross_exposure,0.037,0.038,2505425,0.002505425
gross_exposure,0.038,0.039,1992996,0.001992996
gross_exposure,0.039,0.04,1996475,0.001996475
gross_exposure,0.04,0.041,1999209,0.001999209
gross_exposure,0.041,0.042,1604916,0.001604916
gross_exposure,0.042,0.043,2044449,0.002044449
gross_exposure,0.043,0.044,1430179,0.001430179
gross_exposure,0.044,0.045,1932372,0.001932372
gross_exposure,0.045,0.046,1328093,0.001328093
gross_exposure,0.046,0.047,2336812,0.002336812
gross_exposure,0.047,0.048,707634,0.000707634
gross_exposure,0.048,0.049,1728714,0.001728714
gross_exposure,0.049,0.05,1246306,0.001246306
gross_exposure,0.05,0.051,1313510,0.00131351
gross_exposure,0.051,0.052,1539992,0.001539992
gross_exposure,0.052,0.053,1060950,0.00106095
gross_exposure,0.053,0.054,1500925,0.001500925
gross_exposure,0.054,0.055,922105,0.000922105
gross_exposure,0.055,0.056,1716248,0.001716248
gross_exposure,0.056,0.057,734075,0.000734075
gross_exposure,0.057,0.058,976210,0.00097621
gross_exposure,0.058,0.059,1278529,0.001278529
gross_exposure,0.059,0.06,973068,0.000973068
gross_exposure,0.06,0.061,892261,0.000892261
gross_exposure,0.061,0.062,763178,0.000763178
gross_exposure,0.062,0.063,1177090,0.00117709
gross_exposure,0.063,0.064,647246,0.000647246
gross_exposure,0.064,0.065,669281,0.000669281
gross_exposure,0.065,0.066,1032111,0.001032111
gross_exposure,0.066,0.067,776770,0.00077677
gross_exposure,0.067,0.068,287410,0.00028741
gross_exposure,0.068,0.069,1537841,0.001537841
gross_exposure,0.069,0.07,253211,0.000253211
gross_exposure,0.07,0.071,836420,0.00083642
gross_exposure,0.071,0.072,688456,0.000688456
gross_exposure,0.072,0.073,458967,0.000458967
gross_exposure,0.073,0.074,747929,0.000747929
gross_exposure,0.074,0.075,622961,0.000622961
gross_exposure,0.075,0.076,481806,0.000481806
gross_exposure,0.076,0.077,468298,0.000468298
gross_exposure,0.077,0.078,828951,0.000828951
gross_exposure,0.078,0.079,417770,0.00041777
gross_exposure,0.079,0.08,441189,0.000441189
gross_exposure,0.08,0.081,558011,0.000558011
gross_exposure,0.081,0.082,379676,0.000379676
gross_exposure,0.082,0.083,478073,0.000478073
gross_exposure,0.083,0.084,429550,0.00042955
gross_exposure,0.084,0.085,437280,0.00043728
gross_exposure,0.085,0.086,513678,0.000513678
gross_exposure,0.086,0.087,189006,0.000189006
gross_exposure,0.087,0.088,515397,0.000515397
gross_exposure,0.088,0.089,339284,0.000339284
gross_exposure,0.089,0.09,352240,0.00035224
gross_exposure,0.09,0.091,395030,0.00039503
gross_exposure,0.091,0.092,267503,0.000267503
gross_exposure,0.092,0.093,93484,9.3484e-05
gross_exposure,0.093,0.094,562543,0.000562543
gross_exposure,0.094,0.095,234498,0.000234498
gross_exposure,0.095,0.096,277976,0.000277976
gross_exposure,0.096,0.097,209131,0.000209131
gross_exposure,0.097,0.098,355456,0.000355456
gross_exposure,0.098,0.099,307726,0.000307726
gross_exposure,0.099,0.1,298091,0.000298091
gross_exposure,0.1,0.101,148133,0.000148133
gross_exposure,0.101,0.102,168911,0.000168911
gross_exposure,0.102,0.103,265639,0.000265639
gross_exposure,0.103,0.104,266995,0.000266995
gross_exposure,0.104,0.105,191479,0.000191479
gross_exposure,0.105,0.106,137692,0.000137692
gross_exposure,0.106,0.107,228372,0.000228372
gross_exposure,0.107,0.108,338079,0.000338079
gross_exposure,0.108,0.109,163480,0.00016348
gross_exposure,0.109,0.11,58059,5.8059e-05
gross_exposure,0.11,0.111,54344,5.4344e-05
gross_exposure,0.111,0.112,505175,0.000505175
gross_exposure,0.112,0.113,7003,7.003e-06
gross_exposure,0.113,0.114,55365,5.5365e-05
gross_exposure,0.114,0.115,91273,9.1273e-05
gross_exposure,0.115,0.116,228054,0.000228054
gross_exposure,0.116,0.117,207544,0.000207544
gross_exposure,0.117,0.118,102135,0.000102135
gross_exposure,0.118,0.119,89115,8.9115e-05
gross_exposure,0.119,0.12,143500,0.0001435
gross_exposure,0.12,0.121,189914,0.000189914
gross_exposure,0.121,0.122,49186,4.9186e-05
gross_exposure,0.122,0.123,86677,8.6677e-05
gross_exposure,0.123,0.124,72201,7.2201e-05
